"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord (1965-2005)_1154","Ølen (2002-2005)_1159","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",10353,3,19,637,1732,5,74,58,9,102,22,93,1,2,8,9,0,13127,2774,21.13,17483,7130,40.78,10353,78.87
"2","Sauda_1135",56,1887,0,2,2,0,10,2,6,0,0,2,0,0,1,2,0,1970,83,4.21,1907,20,1.05,1887,95.79
"3","Bokn_1145",38,0,222,49,8,0,3,0,0,0,1,0,0,0,0,0,0,321,99,30.84,287,65,22.65,222,69.16
"4","Tysvær_1146",1369,0,22,2107,350,0,95,32,6,16,4,16,0,0,0,1,0,4018,1911,47.56,3408,1301,38.17,2107,52.44
"5","Karmøy_1149",4241,6,18,356,10513,2,25,38,8,20,19,75,3,0,3,3,0,15330,4817,31.42,12864,2351,18.28,10513,68.58
"6","Utsira_1151",5,0,0,1,0,98,0,0,0,0,0,0,0,0,0,0,0,104,6,5.77,105,7,6.67,98,94.23
"7","Vindafjord (1965-2005)_1154",206,7,1,96,55,0,1562,244,25,4,0,18,0,0,0,1,0,2219,657,29.61,2002,440,21.98,1562,70.39
"8","Ølen (2002-2005)_1159",103,1,0,39,19,0,161,1030,93,1,2,18,2,0,4,2,1,1476,446,30.22,1664,634,38.1,1030,69.78
"9","Etne (-2019)_1211",57,1,0,23,9,0,56,205,1278,1,1,28,2,0,18,27,3,1709,431,25.22,1456,178,12.23,1278,74.78
"10","Sveio (-2019)_1216",756,0,5,73,111,0,12,19,3,883,12,99,2,0,4,0,0,1979,1096,55.38,1043,160,15.34,883,44.62
"11","Bømlo (1916-2019)_1219",103,0,0,8,25,0,3,5,2,9,4056,402,19,0,6,1,2,4641,585,12.61,4266,210,4.92,4056,87.39
"12","Stord (-2019)_1221",95,0,0,6,12,0,1,13,4,0,125,6685,150,16,35,3,3,7148,463,6.48,8235,1550,18.82,6685,93.52
"13","Fitjar (-2019)_1222",12,0,0,3,1,0,0,3,0,0,13,455,787,3,3,0,0,1280,493,38.52,1021,234,22.92,787,61.48
"14","Tysnes (-2019)_1223",4,0,0,1,2,0,0,2,0,0,1,81,13,895,19,0,0,1018,123,12.08,924,29,3.14,895,87.92
"15","Kvinnherad (-2019)_1224",43,1,0,4,24,0,0,9,16,0,7,252,42,8,5316,24,5,5751,435,7.56,5469,153,2.8,5316,92.44
"16","Odda (1913-2019)_1228",33,1,0,3,0,0,0,4,4,7,2,9,0,0,46,3059,32,3200,141,4.41,3501,442,12.62,3059,95.59
"17","Ullensvang (1977-2019)_1231",9,0,0,0,1,0,0,0,2,0,1,2,0,0,6,369,1196,1586,390,24.59,1242,46,3.7,1196,75.41
