"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12364,9,28,894,2077,1,224,22,158,50,72,3,1,13,8,2,15926,3562,22.37,20951,8587,40.99,12364,77.63
"2","Sauda_1135",41,1933,1,1,13,1,12,1,0,0,3,0,0,2,0,0,2008,75,3.74,1980,47,2.37,1933,96.26
"3","Bokn_1145",47,0,208,48,11,0,20,0,0,2,1,0,0,0,0,0,337,129,38.28,310,102,32.9,208,61.72
"4","Tysvær_1146",1635,3,35,2394,421,0,242,16,34,8,12,0,1,3,0,0,4804,2410,50.17,4262,1868,43.83,2394,49.83
"5","Karmøy_1149",5201,6,30,569,11598,1,193,13,39,22,41,3,4,16,5,1,17742,6144,34.63,14483,2885,19.92,11598,65.37
"6","Utsira_1151",6,0,0,0,1,96,0,0,0,1,0,0,0,0,0,0,104,8,7.69,99,3,3.03,96,92.31
"7","Vindafjord_1160",347,13,0,169,78,0,3335,141,4,2,19,1,1,4,4,1,4119,784,19.03,4560,1225,26.86,3335,80.97
"8","Etne (-2019)_1211",86,3,0,21,16,0,391,1384,3,0,12,0,0,25,31,0,1972,588,29.82,1615,231,14.3,1384,70.18
"9","Sveio (-2019)_1216",904,3,5,131,145,0,59,7,1064,26,90,0,0,2,0,0,2436,1372,56.32,1367,303,22.17,1064,43.68
"10","Bømlo (1916-2019)_1219",105,1,2,3,34,0,21,0,31,4376,566,21,2,10,0,0,5172,796,15.39,4696,320,6.81,4376,84.61
"11","Stord (-2019)_1221",132,0,0,20,44,0,26,4,30,181,7476,226,17,37,1,1,8195,719,8.77,9003,1527,16.96,7476,91.23
"12","Fitjar (-2019)_1222",8,0,0,1,13,0,6,0,2,18,432,913,3,2,1,0,1399,486,34.74,1180,267,22.63,913,65.26
"13","Tysnes (-2019)_1223",4,0,0,0,5,0,0,0,0,0,76,5,904,16,4,0,1014,110,10.85,953,49,5.14,904,89.15
"14","Kvinnherad (-2019)_1224",38,4,1,6,18,0,19,16,1,9,182,7,20,5291,82,4,5698,407,7.14,5449,158,2.9,5291,92.86
"15","Odda (1913-2019)_1228",24,5,0,4,7,0,11,10,0,1,18,0,0,24,3005,46,3155,150,4.75,3492,487,13.95,3005,95.25
"16","Ullensvang (1977-2019)_1231",9,0,0,1,2,0,1,1,1,0,3,1,0,4,351,1075,1449,374,25.81,1130,55,4.87,1075,74.19
