"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12090,6,23,954,2496,3,252,23,217,40,112,2,4,12,2,0,16236,4146,25.54,20235,8145,40.25,12090,74.46
"2","Sauda_1135",38,1797,0,2,8,0,26,5,0,2,3,0,0,0,1,1,1883,86,4.57,1821,24,1.32,1797,95.43
"3","Bokn_1145",54,0,204,46,31,0,18,0,1,0,2,0,0,1,0,0,357,153,42.86,283,79,27.92,204,57.14
"4","Tysvær_1146",1560,1,24,2309,583,1,243,9,37,7,16,0,0,1,0,0,4791,2482,51.81,4397,2088,47.49,2309,48.19
"5","Karmøy_1149",4896,5,28,651,11759,2,194,16,50,18,42,3,7,8,4,1,17684,5925,33.5,15323,3564,23.26,11759,66.5
"6","Utsira_1151",5,0,0,1,1,82,0,0,0,1,0,0,0,0,0,0,90,8,8.89,88,6,6.82,82,91.11
"7","Vindafjord_1160",321,6,2,215,97,0,3333,145,14,3,23,0,0,5,8,2,4174,841,20.15,4558,1225,26.88,3333,79.85
"8","Etne (-2019)_1211",60,1,1,32,22,0,371,1314,3,0,11,0,2,16,20,0,1853,539,29.09,1577,263,16.68,1314,70.91
"9","Sveio (-2019)_1216",811,0,0,143,178,0,59,6,1083,34,150,4,6,4,1,0,2479,1396,56.31,1505,422,28.04,1083,43.69
"10","Bømlo (1916-2019)_1219",123,0,1,12,41,0,7,0,37,4316,626,23,3,5,0,0,5194,878,16.9,4731,415,8.77,4316,83.1
"11","Stord (-2019)_1221",196,0,0,21,65,0,22,8,53,267,7450,201,24,29,6,1,8343,893,10.7,9156,1706,18.63,7450,89.3
"12","Fitjar (-2019)_1222",13,0,0,2,10,0,5,2,7,18,461,871,2,3,0,1,1395,524,37.56,1113,242,21.74,871,62.44
"13","Tysnes (-2019)_1223",4,0,0,1,6,0,0,0,3,3,67,5,943,27,0,0,1059,116,10.95,1025,82,8,943,89.05
"14","Kvinnherad (-2019)_1224",39,1,0,2,17,0,18,32,0,21,187,4,33,5183,56,2,5595,412,7.36,5323,140,2.63,5183,92.64
"15","Odda (1913-2019)_1228",23,3,0,5,6,0,9,15,0,0,5,0,0,22,2853,63,3004,151,5.03,3319,466,14.04,2853,94.97
"16","Ullensvang (1977-2019)_1231",2,1,0,1,3,0,1,2,0,1,1,0,1,7,368,1020,1408,388,27.56,1091,71,6.51,1020,72.44
