"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12507,10,30,892,2269,1,265,14,203,70,98,5,2,13,5,2,16386,3879,23.67,21072,8565,40.65,12507,76.33
"2","Sauda_1135",37,1907,2,3,15,0,19,2,0,2,4,0,0,1,2,0,1994,87,4.36,1958,51,2.6,1907,95.64
"3","Bokn_1145",52,0,223,46,22,0,12,0,0,1,2,0,0,0,0,0,358,135,37.71,324,101,31.17,223,62.29
"4","Tysvær_1146",1645,7,30,2381,538,0,241,15,38,9,18,0,2,0,0,0,4924,2543,51.65,4226,1845,43.66,2381,48.35
"5","Karmøy_1149",5215,13,32,574,11858,1,199,17,51,30,53,4,3,10,10,0,18070,6212,34.38,15073,3215,21.33,11858,65.62
"6","Utsira_1151",5,0,0,0,1,98,0,0,0,1,0,0,0,0,0,0,105,7,6.67,100,2,2,98,93.33
"7","Vindafjord_1160",333,12,0,153,83,0,3478,149,8,2,26,2,0,2,4,1,4253,775,18.22,4770,1292,27.09,3478,81.78
"8","Etne (-2019)_1211",76,2,2,20,22,0,408,1406,1,1,9,0,0,19,29,2,1997,591,29.59,1647,241,14.63,1406,70.41
"9","Sveio (-2019)_1216",865,1,4,120,159,0,82,4,1057,26,121,2,1,2,1,0,2445,1388,56.77,1426,369,25.88,1057,43.23
"10","Bømlo (1916-2019)_1219",94,0,1,9,37,0,14,0,31,4331,628,23,1,5,0,0,5174,843,16.29,4702,371,7.89,4331,83.71
"11","Stord (-2019)_1221",167,0,0,16,33,0,22,5,29,197,7807,233,21,31,2,0,8563,756,8.83,9521,1714,18,7807,91.17
"12","Fitjar (-2019)_1222",10,0,0,1,10,0,1,0,6,16,466,917,3,1,1,0,1432,515,35.96,1195,278,23.26,917,64.04
"13","Tysnes (-2019)_1223",4,0,0,1,7,0,0,0,0,4,81,4,911,19,0,0,1031,120,11.64,968,57,5.89,911,88.36
"14","Kvinnherad (-2019)_1224",36,1,0,5,11,0,19,20,2,12,193,4,24,5291,48,1,5667,376,6.63,5429,138,2.54,5291,93.37
"15","Odda (1913-2019)_1228",22,5,0,4,6,0,9,14,0,0,12,0,0,26,2938,54,3090,152,4.92,3394,456,13.44,2938,95.08
"16","Ullensvang (1977-2019)_1231",4,0,0,1,2,0,1,1,0,0,3,1,0,9,354,1088,1464,376,25.68,1148,60,5.23,1088,74.32
