"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord (1965-2005)_1154","Ølen (2002-2005)_1159","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",10353,2,27,646,1748,1,74,53,10,97,20,141,2,0,11,6,0,13191,2838,21.51,17384,7031,40.45,10353,78.49
"2","Sauda_1135",53,1921,0,4,2,0,10,2,3,0,0,3,0,0,1,1,0,2000,79,3.95,1941,20,1.03,1921,96.05
"3","Bokn_1145",38,0,211,50,8,0,3,1,0,1,1,1,0,0,0,0,0,314,103,32.8,290,79,27.24,211,67.2
"4","Tysvær_1146",1338,1,24,2182,350,0,88,30,6,14,6,28,1,0,1,4,0,4073,1891,46.43,3482,1300,37.33,2182,53.57
"5","Karmøy_1149",4270,5,19,344,10730,3,30,37,8,14,16,85,0,2,4,4,0,15571,4841,31.09,13098,2368,18.08,10730,68.91
"6","Utsira_1151",7,0,0,0,4,87,0,0,0,0,0,0,0,0,0,0,0,98,11,11.22,91,4,4.4,87,88.78
"7","Vindafjord (1965-2005)_1154",204,7,1,92,59,0,1537,267,24,5,0,15,0,0,0,0,0,2211,674,30.48,2000,463,23.15,1537,69.52
"8","Ølen (2002-2005)_1159",94,0,1,41,17,0,188,1116,66,0,2,18,0,0,3,3,1,1550,434,28,1761,645,36.63,1116,72
"9","Etne (-2019)_1211",53,2,0,20,13,0,51,207,1332,1,1,24,2,0,20,21,2,1749,417,23.84,1484,152,10.24,1332,76.16
"10","Sveio (-2019)_1216",755,0,6,81,109,0,12,16,1,912,7,82,4,0,4,0,0,1989,1077,54.15,1080,168,15.56,912,45.85
"11","Bømlo (1916-2019)_1219",81,0,0,9,19,0,0,3,3,19,3978,399,20,0,8,4,2,4545,567,12.48,4191,213,5.08,3978,87.52
"12","Stord (-2019)_1221",75,0,1,4,7,0,3,13,2,9,131,6688,137,17,41,4,1,7133,445,6.24,8225,1537,18.69,6688,93.76
"13","Fitjar (-2019)_1222",11,0,0,1,2,0,1,4,0,0,11,416,807,3,2,3,0,1261,454,36,1029,222,21.57,807,64
"14","Tysnes (-2019)_1223",3,0,0,0,2,0,0,2,0,0,3,68,10,898,21,3,0,1010,112,11.09,929,31,3.34,898,88.91
"15","Kvinnherad (-2019)_1224",27,2,0,3,24,0,3,9,24,0,11,233,46,9,5295,35,5,5726,431,7.53,5449,154,2.83,5295,92.47
"16","Odda (1913-2019)_1228",19,1,0,4,3,0,0,1,4,8,2,19,0,0,34,3049,27,3171,122,3.85,3495,446,12.76,3049,96.15
"17","Ullensvang (1977-2019)_1231",3,0,0,1,1,0,0,0,1,0,2,5,0,0,4,358,1155,1530,375,24.51,1193,38,3.19,1155,75.49
