"","Naering","Kjonn","Alder","ContentsCode","Aar","Etne","Sveio","Boemlo","Stord","Fitjar","Tysnes","Kvinnherad","Odda_og_Ullensvang","tot_S"
"101","49-53",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"102","49-53",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"103","49-53",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"104","49-53",0,"15-74","SysselsatteArb",2020,48,94,339,345,39,68,221,301,1455
"105","55-56",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"106","55-56",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"107","55-56",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"108","55-56",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"109","55-56",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"110","55-56",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"111","55-56",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"112","55-56",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"113","55-56",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"114","55-56",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"115","55-56",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"116","55-56",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"117","55-56",0,"15-74","SysselsatteArb",2020,51,9,75,350,15,12,113,194,819
"118","58-63",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"119","58-63",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"120","58-63",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"121","58-63",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"122","58-63",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"123","58-63",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"124","58-63",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"125","58-63",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"126","58-63",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"127","58-63",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"128","58-63",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"129","58-63",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"130","58-63",0,"15-74","SysselsatteArb",2020,22,5,30,104,NA,NA,63,38,NA
"131","64-66",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"132","64-66",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"133","64-66",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"134","64-66",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"135","64-66",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"136","64-66",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"137","64-66",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"138","64-66",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"139","64-66",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"140","64-66",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"141","64-66",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"142","64-66",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"143","64-66",0,"15-74","SysselsatteArb",2020,NA,0,16,39,0,NA,16,NA,NA
"144","68-75",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"145","68-75",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"146","68-75",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"147","68-75",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"148","68-75",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"149","68-75",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"150","68-75",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"151","68-75",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"152","68-75",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"153","68-75",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"154","68-75",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"155","68-75",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"156","68-75",0,"15-74","SysselsatteArb",2020,39,26,106,501,45,31,161,259,1168
"157","77-82",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"158","77-82",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"159","77-82",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"160","77-82",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"161","77-82",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"162","77-82",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"163","77-82",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"164","77-82",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"165","77-82",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"166","77-82",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"167","77-82",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"168","77-82",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"169","77-82",0,"15-74","SysselsatteArb",2020,68,34,186,217,19,31,156,105,816
"170","84",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"171","84",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"172","84",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"173","84",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"174","84",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"175","84",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"176","84",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"177","84",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"178","84",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"179","84",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"180","84",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"181","84",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"182","84",0,"15-74","SysselsatteArb",2020,52,48,145,355,40,60,201,189,1090
"183","85",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"184","85",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"185","85",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"186","85",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"187","85",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"188","85",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"189","85",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"190","85",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"191","85",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"192","85",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"193","85",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"194","85",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"195","85",0,"15-74","SysselsatteArb",2020,111,171,460,786,115,79,477,385,2584
"196","86-88",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"197","86-88",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"198","86-88",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"199","86-88",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"200","86-88",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"201","86-88",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"202","86-88",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"203","86-88",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"204","86-88",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"205","86-88",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"206","86-88",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"207","86-88",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"208","86-88",0,"15-74","SysselsatteArb",2020,346,423,950,2168,267,264,1577,1262,7257
"209","90-99",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"210","90-99",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"211","90-99",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"212","90-99",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"213","90-99",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"214","90-99",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"215","90-99",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"216","90-99",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"217","90-99",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"218","90-99",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"219","90-99",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"220","90-99",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"221","90-99",0,"15-74","SysselsatteArb",2020,34,62,123,217,15,30,134,121,736
"222","00",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"223","00",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"224","00",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"225","00",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"226","00",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"227","00",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"228","00",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"229","00",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"230","00",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"231","00",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"232","00",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"233","00",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"234","00",0,"15-74","SysselsatteArb",2020,NA,18,18,31,15,6,NA,NA,NA
