"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",10650,7,21,720,1778,3,149,23,96,17,117,5,1,9,10,0,13606,2956,21.73,18060,7410,41.03,10650,78.27
"2","Sauda_1135",38,1855,0,7,7,0,23,2,0,0,6,0,0,1,2,0,1941,86,4.43,1893,38,2.01,1855,95.57
"3","Bokn_1145",46,0,199,50,11,0,6,0,1,1,1,0,0,0,0,0,315,116,36.83,263,64,24.33,199,63.17
"4","Tysvær_1146",1393,1,27,2115,392,0,117,8,19,5,16,2,0,1,2,0,4098,1983,48.39,3558,1443,40.56,2115,51.61
"5","Karmøy_1149",4456,5,8,391,10877,1,74,8,28,15,54,0,1,4,7,1,15930,5053,31.72,13351,2474,18.53,10877,68.28
"6","Utsira_1151",2,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,101,2,1.98,103,4,3.88,99,98.02
"7","Vindafjord_1160",321,13,3,130,74,0,3120,83,8,2,33,0,0,6,5,2,3800,680,17.89,3852,732,19,3120,82.11
"8","Etne (-2019)_1211",65,4,0,22,11,0,275,1263,0,2,19,4,0,19,24,3,1711,448,26.18,1435,172,11.99,1263,73.82
"9","Sveio (-2019)_1216",788,0,5,97,125,0,33,2,943,8,76,4,0,3,0,0,2084,1141,54.75,1135,192,16.92,943,45.25
"10","Bømlo (1916-2019)_1219",89,0,0,6,23,0,8,2,17,3990,472,23,1,5,0,1,4637,647,13.95,4177,187,4.48,3990,86.05
"11","Stord (-2019)_1221",130,1,0,9,18,0,20,8,17,115,6749,164,16,33,1,0,7281,532,7.31,8306,1557,18.75,6749,92.69
"12","Fitjar (-2019)_1222",13,0,0,2,1,0,3,0,2,11,414,805,4,2,1,0,1258,453,36.01,1041,236,22.67,805,63.99
"13","Tysnes (-2019)_1223",4,0,0,0,5,0,3,1,0,1,72,12,873,13,1,0,985,112,11.37,910,37,4.07,873,88.63
"14","Kvinnherad (-2019)_1224",30,6,0,2,22,0,16,25,1,10,249,22,14,5136,42,3,5578,442,7.92,5270,134,2.54,5136,92.08
"15","Odda (1913-2019)_1228",26,1,0,6,4,0,3,6,2,0,21,0,0,31,2993,39,3132,139,4.44,3417,424,12.41,2993,95.56
"16","Ullensvang (1977-2019)_1231",9,0,0,1,3,0,2,4,1,0,7,0,0,7,329,1124,1487,363,24.41,1173,49,4.18,1124,75.59
