"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12416,13,32,883,2221,1,235,16,178,50,77,2,2,14,3,1,16144,3728,23.09,21027,8611,40.95,12416,76.91
"2","Sauda_1135",41,1884,2,2,16,1,19,1,0,1,2,0,0,1,0,0,1970,86,4.37,1935,51,2.64,1884,95.63
"3","Bokn_1145",56,0,213,47,17,0,9,0,0,4,1,0,0,0,0,0,347,134,38.62,317,104,32.81,213,61.38
"4","Tysvær_1146",1657,5,33,2333,467,0,230,13,34,12,12,1,1,2,1,0,4801,2468,51.41,4148,1815,43.76,2333,48.59
"5","Karmøy_1149",5215,9,30,555,11721,2,185,15,45,26,47,5,4,16,5,1,17881,6160,34.45,14805,3084,20.83,11721,65.55
"6","Utsira_1151",7,0,0,0,3,94,0,0,0,1,0,0,0,0,0,0,105,11,10.48,98,4,4.08,94,89.52
"7","Vindafjord_1160",332,11,0,157,73,0,3412,138,5,1,25,1,1,5,5,1,4167,755,18.12,4631,1219,26.32,3412,81.88
"8","Etne (-2019)_1211",90,3,2,19,22,0,384,1375,2,1,6,0,0,24,28,0,1956,581,29.7,1596,221,13.85,1375,70.3
"9","Sveio (-2019)_1216",876,2,4,112,155,0,77,6,1101,28,100,0,0,2,1,0,2464,1363,55.32,1439,338,23.49,1101,44.68
"10","Bømlo (1916-2019)_1219",98,0,1,5,29,0,14,1,40,4316,609,24,2,7,0,1,5147,831,16.15,4650,334,7.18,4316,83.85
"11","Stord (-2019)_1221",157,0,0,20,42,0,25,4,30,185,7718,228,21,36,2,0,8468,750,8.86,9322,1604,17.21,7718,91.14
"12","Fitjar (-2019)_1222",11,0,0,2,10,0,4,0,4,14,434,934,3,2,1,0,1419,485,34.18,1202,268,22.3,934,65.82
"13","Tysnes (-2019)_1223",3,0,0,1,7,0,0,0,0,2,79,4,914,17,0,0,1027,113,11,969,55,5.68,914,89
"14","Kvinnherad (-2019)_1224",36,3,0,8,14,0,24,16,0,8,193,2,21,5238,66,2,5631,393,6.98,5392,154,2.86,5238,93.02
"15","Odda (1913-2019)_1228",23,5,0,3,6,0,11,9,0,1,15,0,0,21,2976,47,3117,141,4.52,3435,459,13.36,2976,95.48
"16","Ullensvang (1977-2019)_1231",9,0,0,1,2,0,2,2,0,0,4,1,0,7,347,1060,1435,375,26.13,1113,53,4.76,1060,73.87
