Naering,Kjonn,ContentsCode,Aar,Haugesund_15-74,Haugesund,Sauda,Bokn,Tysvaer,Karmoy,Utsira,Vindafjord,Bokn_67-74,Tysvaer_15-74,Tysvaer_55-66,Tysvaer_67-74,Karmoy_15-74,Karmoy_55-66,KArmoy_67-74,Utsira_15-74,Utsira_55-66,Utsira_67-74,Vindafjord_15-74,Vindafjord_55-66,Vindafjord_67-74
45-47,0,Sysselsatte,2017,2357,328,35,175,29,0,29,9,0,690,110,10,2621,358,50,6,3,0,516,93,12
45-47,0,Sysselsatte,2018,2354,348,32,192,30,3,37,10,0,682,113,5,2510,344,47,6,0,0,525,99,11
45-47,0,Sysselsatte,2019,2216,328,31,178,33,3,37,9,0,680,115,8,2441,366,39,6,0,0,516,96,13
45-47,0,Sysselsatte,2020,2147,322,29,170,29,3,40,7,0,653,118,11,2460,374,36,12,3,0,498,96,12
49-53,0,Sysselsatte,2008,1054,237,19,93,23,5,55,8,0,295,62,5,1474,272,32,25,4,0,222,60,8
49-53,0,Sysselsatte,2009,1035,229,16,98,23,4,51,7,0,274,56,11,1493,282,32,27,3,0,207,60,10
49-53,0,Sysselsatte,2010,1005,225,18,93,23,3,52,7,0,254,48,9,1504,300,30,27,3,0,203,64,8
49-53,0,Sysselsatte,2011,969,219,28,96,27,0,47,6,0,269,53,8,1439,284,35,27,3,0,192,58,12
49-53,0,Sysselsatte,2012,973,213,30,98,28,3,50,9,0,270,60,10,1482,302,43,21,3,0,187,55,15
49-53,0,Sysselsatte,2013,969,216,36,98,30,3,56,10,0,278,64,9,1443,315,47,23,3,0,184,51,19
49-53,0,Sysselsatte,2014,1031,212,39,94,30,3,56,10,3,293,66,15,1447,314,52,19,0,0,202,54,21
49-53,0,Sysselsatte,2015,1029,215,37,87,24,3,56,16,0,297,71,12,1405,312,32,20,3,0,228,49,19
49-53,0,Sysselsatte,2016,999,204,35,94,27,3,58,15,0,290,67,11,1330,304,27,19,3,0,214,43,19
49-53,0,Sysselsatte,2017,990,192,42,100,29,3,56,19,0,295,73,12,1352,314,33,18,3,0,202,45,21
49-53,0,Sysselsatte,2018,1021,190,45,84,27,0,53,18,0,283,67,15,1375,306,39,19,3,0,207,51,20
49-53,0,Sysselsatte,2019,1006,190,44,86,24,3,47,17,0,293,72,16,1365,327,41,20,0,0,206,47,11
49-53,0,Sysselsatte,2020,968,190,41,94,28,3,47,13,6,287,75,15,1313,331,40,24,6,0,193,47,13
55-56,0,Sysselsatte,2008,723,45,7,59,0,0,12,0,0,204,19,0,603,37,3,12,3,0,102,10,0
55-56,0,Sysselsatte,2009,681,51,6,69,3,0,16,0,3,194,17,3,580,45,6,3,0,0,127,10,3
55-56,0,Sysselsatte,2010,759,54,4,71,4,0,17,0,0,193,17,3,613,49,8,6,3,0,132,16,3
55-56,0,Sysselsatte,2011,763,50,9,75,7,0,12,0,0,196,21,3,586,46,12,3,0,0,141,15,3
55-56,0,Sysselsatte,2012,824,59,10,58,3,0,9,0,0,194,20,3,597,48,9,6,0,0,110,16,0
55-56,0,Sysselsatte,2013,875,59,5,66,6,0,3,0,0,189,14,3,668,48,9,9,0,3,87,16,0
55-56,0,Sysselsatte,2014,864,63,3,56,3,0,3,0,0,187,14,6,675,56,8,6,0,0,92,17,3
55-56,0,Sysselsatte,2015,746,61,3,60,4,0,6,3,0,145,11,3,547,47,7,0,0,0,50,12,0
55-56,0,Sysselsatte,2016,772,67,3,59,3,0,3,3,0,161,15,3,525,42,6,3,0,3,50,11,0
55-56,0,Sysselsatte,2017,815,73,3,67,3,0,6,3,0,153,16,3,518,47,5,3,0,3,55,11,0
55-56,0,Sysselsatte,2018,805,68,3,67,4,3,3,0,0,131,17,3,571,54,3,0,0,0,51,9,0
55-56,0,Sysselsatte,2019,804,69,6,67,7,0,3,3,0,135,18,3,549,54,3,3,0,0,53,8,0
55-56,0,Sysselsatte,2020,693,67,3,40,3,0,6,3,0,119,15,0,541,52,7,0,0,0,64,11,0
58-63,0,Sysselsatte,2008,376,54,7,23,3,0,6,0,0,60,12,0,271,37,0,0,0,0,108,3,0
58-63,0,Sysselsatte,2009,351,46,8,20,3,0,3,0,0,64,11,0,267,35,3,0,0,0,103,6,0
58-63,0,Sysselsatte,2010,393,59,7,20,3,0,6,3,0,75,14,0,276,35,3,0,0,0,101,8,0
58-63,0,Sysselsatte,2011,400,58,8,24,3,3,6,0,0,80,14,0,289,36,3,0,0,0,119,13,3
58-63,0,Sysselsatte,2012,386,53,6,25,0,3,6,0,0,92,14,0,312,38,6,0,0,0,135,11,3
58-63,0,Sysselsatte,2013,400,50,10,23,0,3,6,3,0,96,15,3,298,42,4,0,0,0,134,13,0
58-63,0,Sysselsatte,2014,403,47,3,20,0,0,6,3,0,79,16,0,292,38,3,0,0,0,103,14,0
58-63,0,Sysselsatte,2015,371,37,6,23,3,0,3,0,0,77,14,0,276,32,6,0,0,0,91,10,0
58-63,0,Sysselsatte,2016,362,39,3,14,0,0,3,0,0,81,11,3,273,32,3,0,0,0,94,15,0
58-63,0,Sysselsatte,2017,364,57,0,12,0,0,3,0,0,83,14,3,284,36,3,0,0,0,76,13,0
58-63,0,Sysselsatte,2018,415,58,3,10,0,0,3,0,0,77,16,0,303,34,3,0,0,0,81,10,0
58-63,0,Sysselsatte,2019,443,59,6,21,3,0,6,0,0,90,18,3,327,36,6,0,0,0,103,15,3
58-63,0,Sysselsatte,2020,484,58,7,19,3,0,6,0,0,98,18,3,334,37,0,0,0,0,98,19,0
64-66,0,Sysselsatte,2008,245,87,3,17,6,0,3,3,0,40,15,0,174,49,3,0,0,0,28,9,0
64-66,0,Sysselsatte,2009,233,81,3,15,3,0,3,0,0,37,14,0,167,46,3,0,0,0,23,5,0
64-66,0,Sysselsatte,2010,215,75,3,18,6,0,0,0,0,34,12,0,168,45,3,0,0,0,26,9,0
64-66,0,Sysselsatte,2011,198,75,3,15,3,0,3,0,0,31,11,0,160,47,0,0,0,0,24,10,0
64-66,0,Sysselsatte,2012,187,79,3,10,3,0,3,0,0,28,10,0,154,47,3,0,0,0,28,10,0
64-66,0,Sysselsatte,2013,173,76,3,9,0,0,0,0,0,27,10,0,147,46,0,0,0,0,26,12,0
64-66,0,Sysselsatte,2014,162,67,0,9,3,0,0,0,0,32,12,3,142,49,0,0,0,0,29,8,3
64-66,0,Sysselsatte,2015,156,60,0,6,0,0,3,0,0,24,8,0,136,48,0,0,0,0,21,7,0
64-66,0,Sysselsatte,2016,148,55,3,6,0,0,3,0,0,21,3,3,133,51,0,0,0,0,21,7,0
64-66,0,Sysselsatte,2017,147,50,6,6,0,0,0,0,0,26,4,3,124,40,0,0,0,0,21,5,0
64-66,0,Sysselsatte,2018,141,46,6,6,0,0,3,0,0,26,7,3,106,36,0,0,0,0,22,6,0
64-66,0,Sysselsatte,2019,132,43,0,6,0,0,0,0,0,23,7,0,107,31,3,0,0,0,22,3,0
64-66,0,Sysselsatte,2020,128,38,3,3,0,0,3,0,0,28,7,0,119,29,6,0,0,0,22,6,0
68-75,0,Sysselsatte,2008,757,135,14,43,11,0,6,3,0,121,26,5,657,133,16,3,0,3,127,19,9
68-75,0,Sysselsatte,2009,803,155,19,41,10,3,9,0,0,141,28,9,691,148,19,3,3,0,124,21,4
68-75,0,Sysselsatte,2010,894,183,18,49,14,0,11,0,0,158,27,4,753,157,28,3,3,0,122,20,7
68-75,0,Sysselsatte,2011,923,186,26,52,15,3,12,0,3,157,29,3,771,160,28,3,3,0,120,20,3
68-75,0,Sysselsatte,2012,966,183,27,58,11,3,6,0,0,181,30,9,769,156,31,3,3,0,131,22,6
68-75,0,Sysselsatte,2013,1002,192,38,54,12,3,6,0,0,197,36,5,808,169,37,3,3,0,143,27,8
68-75,0,Sysselsatte,2014,1054,194,35,64,17,4,6,0,0,210,38,9,812,169,44,3,3,0,174,28,9
68-75,0,Sysselsatte,2015,974,192,24,53,12,3,3,0,0,202,30,9,822,160,39,3,0,0,144,31,3
68-75,0,Sysselsatte,2016,958,182,38,51,8,3,3,0,0,198,29,9,824,151,40,0,0,0,142,28,10
68-75,0,Sysselsatte,2017,993,182,49,45,9,4,3,0,0,200,23,10,823,153,39,0,0,0,156,33,9
68-75,0,Sysselsatte,2018,930,169,55,41,7,3,3,0,0,172,23,9,795,141,47,0,0,0,163,39,10
68-75,0,Sysselsatte,2019,952,175,56,40,5,0,3,0,0,191,27,12,818,146,53,0,0,0,187,43,9
68-75,0,Sysselsatte,2020,917,165,45,41,5,0,6,0,0,172,24,11,750,137,55,0,0,0,170,47,6
77-82,0,Sysselsatte,2008,1019,117,10,114,16,7,9,3,0,183,22,3,781,134,17,10,0,0,206,30,3
77-82,0,Sysselsatte,2009,831,101,7,94,7,7,6,3,0,148,24,3,725,131,16,12,3,0,197,23,0
77-82,0,Sysselsatte,2010,854,103,5,83,11,0,12,6,0,139,16,4,743,129,9,6,0,0,199,30,0
77-82,0,Sysselsatte,2011,921,119,5,84,7,3,10,3,0,184,26,3,837,145,12,12,3,0,250,31,3
77-82,0,Sysselsatte,2012,944,121,10,85,6,3,12,3,0,200,30,0,946,160,18,9,0,0,262,33,3
77-82,0,Sysselsatte,2013,865,113,13,78,11,0,16,0,0,228,42,3,900,143,18,10,0,0,268,36,7
77-82,0,Sysselsatte,2014,930,127,15,97,10,0,10,0,0,220,44,3,857,152,10,6,0,0,282,47,3
77-82,0,Sysselsatte,2015,762,99,14,75,11,3,10,0,0,207,36,4,714,148,11,6,3,0,190,42,3
77-82,0,Sysselsatte,2016,807,106,11,71,11,0,12,3,0,206,34,4,751,143,10,3,0,0,196,44,3
77-82,0,Sysselsatte,2017,891,120,9,79,11,3,12,0,3,240,38,3,839,159,13,6,3,0,195,46,6
77-82,0,Sysselsatte,2018,874,132,5,85,14,0,9,0,0,224,40,3,849,159,21,6,0,0,201,49,3
77-82,0,Sysselsatte,2019,913,131,12,81,14,3,6,0,0,228,41,3,843,160,17,6,3,0,192,46,5
77-82,0,Sysselsatte,2020,883,142,18,79,8,3,6,3,0,239,38,0,824,157,12,3,0,0,165,47,8
84,0,Sysselsatte,2008,685,139,4,91,20,0,18,7,0,161,43,3,612,131,6,9,4,0,176,56,3
84,0,Sysselsatte,2009,713,138,6,101,24,0,20,6,0,179,41,3,615,125,7,7,3,0,176,54,3
84,0,Sysselsatte,2010,770,153,24,103,22,3,17,6,0,169,43,0,622,134,7,14,3,0,171,50,0
84,0,Sysselsatte,2011,764,166,25,112,24,0,19,7,0,193,35,6,635,138,13,8,3,0,187,51,7
84,0,Sysselsatte,2012,828,163,22,102,23,0,19,7,0,192,35,6,674,137,9,10,3,0,188,49,3
84,0,Sysselsatte,2013,875,179,16,109,27,3,17,8,0,194,39,8,677,147,6,9,0,3,197,50,6
84,0,Sysselsatte,2014,886,179,15,98,28,3,18,3,0,195,35,7,717,149,11,9,3,0,194,47,7
84,0,Sysselsatte,2015,832,180,10,96,26,3,12,6,0,174,34,8,666,160,10,12,3,3,175,43,3
84,0,Sysselsatte,2016,848,169,18,99,25,3,18,6,0,191,33,7,730,168,7,6,3,0,181,38,5
84,0,Sysselsatte,2017,834,155,11,102,26,3,17,7,3,195,28,9,708,160,9,6,3,0,175,35,7
84,0,Sysselsatte,2018,861,153,14,96,21,3,16,7,0,203,32,3,658,148,11,6,3,0,190,38,9
84,0,Sysselsatte,2019,935,158,7,91,20,3,21,8,3,210,39,0,687,153,9,6,3,3,194,46,7
84,0,Sysselsatte,2020,864,149,7,94,21,3,14,8,0,244,42,3,701,155,9,3,3,0,177,43,7
85,0,Sysselsatte,2008,1324,309,33,199,51,0,25,7,0,398,110,3,1336,312,17,13,3,0,327,86,6
85,0,Sysselsatte,2009,1427,338,36,206,49,8,28,8,0,422,112,5,1379,320,14,13,7,0,311,81,4
85,0,Sysselsatte,2010,1466,357,38,206,49,6,33,7,0,422,111,8,1390,316,21,13,4,0,314,79,3
85,0,Sysselsatte,2011,1465,361,35,211,56,3,35,8,0,437,113,10,1369,311,25,15,7,0,310,73,3
85,0,Sysselsatte,2012,1519,374,36,197,59,0,23,10,0,443,113,8,1379,323,33,14,6,0,319,75,3
85,0,Sysselsatte,2013,1507,366,39,193,52,0,32,9,0,406,105,9,1408,309,36,14,4,3,327,75,3
85,0,Sysselsatte,2014,1538,374,55,195,60,0,28,10,0,411,95,12,1465,323,40,19,4,3,317,70,3
85,0,Sysselsatte,2015,1526,375,26,201,58,3,27,9,0,383,88,11,1437,304,24,11,5,0,313,65,4
85,0,Sysselsatte,2016,1603,389,28,217,57,3,24,8,0,416,95,12,1449,317,22,16,7,3,311,64,5
85,0,Sysselsatte,2017,1639,375,37,205,57,0,23,12,0,402,89,12,1463,298,21,11,8,0,312,65,5
85,0,Sysselsatte,2018,1636,377,39,214,56,3,23,11,0,413,90,8,1497,274,25,15,5,0,313,66,3
85,0,Sysselsatte,2019,1612,373,33,195,50,0,24,8,0,411,80,7,1509,272,25,15,5,0,319,71,6
85,0,Sysselsatte,2020,1600,360,29,205,47,0,22,8,0,414,85,6,1512,264,15,11,5,0,327,77,3
86-88,0,Sysselsatte,2008,3648,641,69,539,94,17,68,12,0,946,145,18,3660,595,34,22,5,0,610,92,6
86-88,0,Sysselsatte,2009,3679,676,72,557,96,13,69,15,0,973,156,18,3786,611,46,23,7,0,638,106,15
86-88,0,Sysselsatte,2010,3679,723,49,552,100,13,66,14,0,1001,161,19,3763,622,41,24,4,0,619,104,13
86-88,0,Sysselsatte,2011,3832,760,61,543,103,12,64,13,0,1010,163,23,3890,645,49,25,4,0,637,120,11
86-88,0,Sysselsatte,2012,3715,759,62,508,100,5,75,12,0,1023,170,25,3893,691,39,23,5,0,671,126,9
86-88,0,Sysselsatte,2013,3783,803,65,501,104,6,77,11,0,1032,177,25,3952,714,51,20,3,0,685,131,16
86-88,0,Sysselsatte,2014,3851,819,60,541,108,12,77,13,3,1082,185,25,4028,721,58,25,3,3,731,144,18
86-88,0,Sysselsatte,2015,3969,842,81,506,107,10,76,13,0,1081,192,27,4051,692,76,27,3,3,718,146,20
86-88,0,Sysselsatte,2016,3998,827,98,500,107,13,73,16,0,1060,186,19,4087,717,72,25,3,3,714,143,21
86-88,0,Sysselsatte,2017,4067,857,85,504,111,9,75,10,3,1086,201,22,4152,713,74,30,8,3,733,158,19
86-88,0,Sysselsatte,2018,4107,845,95,490,104,9,74,10,3,1112,187,22,4232,714,76,25,6,3,744,151,19
86-88,0,Sysselsatte,2019,4187,824,102,506,110,8,88,16,0,1119,189,20,4263,736,75,18,6,3,730,154,11
86-88,0,Sysselsatte,2020,4259,833,101,513,106,8,89,15,3,1107,187,16,4259,733,68,25,5,0,753,164,10
90-99,0,Sysselsatte,2008,516,81,16,60,12,0,3,0,0,113,16,3,557,86,13,3,0,0,74,15,3
90-99,0,Sysselsatte,2009,507,81,17,87,12,3,3,0,0,108,16,3,555,89,14,3,3,0,78,13,3
90-99,0,Sysselsatte,2010,506,74,16,65,15,3,6,3,0,116,16,6,532,78,14,3,3,0,79,17,3
90-99,0,Sysselsatte,2011,548,79,16,70,13,3,3,0,0,111,18,7,532,83,14,3,3,0,73,16,3
90-99,0,Sysselsatte,2012,545,98,15,67,11,4,9,3,0,128,18,7,523,82,15,3,0,0,75,19,3
90-99,0,Sysselsatte,2013,560,97,20,72,12,6,9,3,0,124,16,4,536,90,19,6,3,0,78,22,4
90-99,0,Sysselsatte,2014,567,93,24,54,11,3,6,3,0,119,20,7,528,87,25,3,3,0,85,24,6
90-99,0,Sysselsatte,2015,582,81,21,60,15,3,6,3,0,116,21,4,571,91,26,3,0,0,95,24,3
90-99,0,Sysselsatte,2016,614,97,22,63,15,3,3,0,0,123,24,6,595,99,20,3,0,0,92,25,4
90-99,0,Sysselsatte,2017,642,100,25,60,14,0,3,0,0,133,25,6,600,94,16,6,0,3,95,24,3
90-99,0,Sysselsatte,2018,642,97,25,65,15,3,6,0,0,129,26,10,558,88,28,3,0,3,87,23,4
90-99,0,Sysselsatte,2019,608,100,24,65,15,4,9,0,3,149,35,11,570,89,25,6,0,3,79,24,3
90-99,0,Sysselsatte,2020,605,101,22,61,14,4,7,0,0,127,30,3,561,98,18,3,0,0,81,22,6
00,0,Sysselsatte,2008,77,23,11,10,4,0,0,0,0,19,3,0,101,33,11,0,0,0,21,7,3
00,0,Sysselsatte,2009,82,20,10,9,3,0,0,0,0,24,3,3,95,32,10,0,0,0,18,6,0
