"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12126,3,18,865,2234,4,274,18,209,44,95,2,2,9,1,1,15905,3779,23.76,20252,8126,40.12,12126,76.24
"2","Sauda_1135",31,1846,1,1,14,0,23,7,1,0,4,1,0,1,2,0,1932,86,4.45,1875,29,1.55,1846,95.55
"3","Bokn_1145",51,0,217,40,25,0,14,0,0,0,4,0,0,0,0,0,351,134,38.18,298,81,27.18,217,61.82
"4","Tysvær_1146",1578,4,30,2333,520,0,253,14,42,6,20,0,3,2,0,0,4805,2472,51.45,4140,1807,43.65,2333,48.55
"5","Karmøy_1149",4984,5,26,572,11539,1,187,22,41,21,46,2,1,11,4,0,17462,5923,33.92,14696,3157,21.48,11539,66.08
"6","Utsira_1151",8,0,0,0,3,88,0,0,0,0,0,0,0,0,0,0,99,11,11.11,94,6,6.38,88,88.89
"7","Vindafjord_1160",308,6,1,147,73,0,3452,150,11,3,29,0,0,1,4,1,4186,734,17.53,4710,1258,26.71,3452,82.47
"8","Etne (-2019)_1211",54,2,1,20,18,0,372,1380,2,1,8,0,1,22,24,0,1905,525,27.56,1644,264,16.06,1380,72.44
"9","Sveio (-2019)_1216",805,0,3,129,156,0,84,5,1105,21,126,4,3,3,1,0,2445,1340,54.81,1503,398,26.48,1105,45.19
"10","Bømlo (1916-2019)_1219",92,1,1,9,35,1,9,2,48,4236,614,22,2,7,1,0,5080,844,16.61,4550,314,6.9,4236,83.39
"11","Stord (-2019)_1221",144,0,0,12,51,0,16,13,36,196,7610,219,26,26,4,0,8353,743,8.9,9337,1727,18.5,7610,91.1
"12","Fitjar (-2019)_1222",11,0,0,3,6,0,3,2,6,11,460,899,1,6,1,0,1409,510,36.2,1156,257,22.23,899,63.8
"13","Tysnes (-2019)_1223",2,0,0,0,7,0,0,0,1,2,85,3,940,18,0,0,1058,118,11.15,1008,68,6.75,940,88.85
"14","Kvinnherad (-2019)_1224",33,2,0,3,11,0,16,23,1,9,223,4,29,5177,47,1,5579,402,7.21,5305,128,2.41,5177,92.79
"15","Odda (1913-2019)_1228",20,5,0,3,1,0,7,8,0,0,9,0,0,18,2884,59,3014,130,4.31,3336,452,13.55,2884,95.69
"16","Ullensvang (1977-2019)_1231",5,1,0,3,3,0,0,0,0,0,4,0,0,4,363,1060,1443,383,26.54,1122,62,5.53,1060,73.46
