"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12086,7,19,991,2545,2,251,24,214,42,106,1,0,12,8,3,16311,4225,25.9,20373,8287,40.68,12086,74.1
"2","Sauda_1135",32,1805,0,3,7,0,23,3,1,0,2,0,0,1,0,0,1877,72,3.84,1835,30,1.63,1805,96.16
"3","Bokn_1145",48,0,229,43,35,0,21,0,1,0,2,0,0,1,0,0,380,151,39.74,319,90,28.21,229,60.26
"4","Tysvær_1146",1576,1,36,2316,597,0,250,13,45,7,25,0,0,0,0,0,4866,2550,52.4,4478,2162,48.28,2316,47.6
"5","Karmøy_1149",4991,6,32,679,11701,2,214,13,54,18,35,3,7,8,5,1,17769,6068,34.15,15346,3645,23.75,11701,65.85
"6","Utsira_1151",3,0,0,2,3,83,0,0,0,0,1,0,0,0,0,0,92,9,9.78,87,4,4.6,83,90.22
"7","Vindafjord_1160",324,8,1,220,95,0,3295,151,15,5,17,1,0,6,7,2,4147,852,20.54,4573,1278,27.95,3295,79.46
"8","Etne (-2019)_1211",64,1,1,32,21,0,381,1348,1,0,13,0,2,27,17,1,1909,561,29.39,1610,262,16.27,1348,70.61
"9","Sveio (-2019)_1216",854,2,1,137,188,0,59,8,1069,33,142,3,4,5,1,0,2506,1437,57.34,1507,438,29.06,1069,42.66
"10","Bømlo (1916-2019)_1219",110,0,0,14,24,0,13,1,35,4325,637,24,3,9,0,0,5195,870,16.75,4739,414,8.74,4325,83.25
"11","Stord (-2019)_1221",196,1,0,32,90,0,29,9,57,273,7430,177,26,28,7,0,8355,925,11.07,9143,1713,18.74,7430,88.93
"12","Fitjar (-2019)_1222",25,0,0,2,13,0,5,0,8,14,470,835,4,2,1,0,1379,544,39.45,1054,219,20.78,835,60.55
"13","Tysnes (-2019)_1223",5,0,0,0,4,0,1,0,3,2,71,5,936,26,0,0,1053,117,11.11,1016,80,7.87,936,88.89
"14","Kvinnherad (-2019)_1224",34,1,0,6,14,0,23,32,4,19,186,5,34,5206,67,3,5634,428,7.6,5368,162,3.02,5206,92.4
"15","Odda (1913-2019)_1228",21,2,0,1,7,0,7,7,0,0,3,0,0,22,2868,68,3006,138,4.59,3335,467,14,2868,95.41
"16","Ullensvang (1977-2019)_1231",4,1,0,0,2,0,1,1,0,1,3,0,0,15,354,1025,1407,382,27.15,1103,78,7.07,1025,72.85
