"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12034,8,23,874,1884,2,220,23,130,36,100,1,2,11,6,1,15355,3321,21.63,20249,8215,40.57,12034,78.37
"2","Sauda_1135",36,2005,1,2,13,0,10,4,2,0,5,0,1,0,1,4,2084,79,3.79,2048,43,2.1,2005,96.21
"3","Bokn_1145",53,0,200,50,8,0,18,0,1,2,3,0,0,0,0,0,335,135,40.3,279,79,28.32,200,59.7
"4","Tysvær_1146",1566,3,27,2324,427,0,225,9,32,2,17,1,1,1,0,0,4635,2311,49.86,4076,1752,42.98,2324,50.14
"5","Karmøy_1149",5049,7,18,504,11444,3,202,14,32,19,64,0,2,5,6,1,17370,5926,34.12,14121,2677,18.96,11444,65.88
"6","Utsira_1151",10,0,0,0,1,97,0,0,1,0,0,0,0,0,0,0,109,12,11.01,102,5,4.9,97,88.99
"7","Vindafjord_1160",316,15,1,141,72,0,3241,120,9,2,27,1,0,1,5,3,3954,713,18.03,4357,1116,25.61,3241,81.97
"8","Etne (-2019)_1211",70,3,1,18,20,0,338,1356,2,1,15,0,0,16,29,0,1869,513,27.45,1571,215,13.69,1356,72.55
"9","Sveio (-2019)_1216",816,0,7,121,140,0,41,8,1074,23,80,0,1,2,1,0,2314,1240,53.59,1340,266,19.85,1074,46.41
"10","Bømlo (1916-2019)_1219",96,1,1,9,37,0,15,1,26,4364,513,20,2,5,0,2,5092,728,14.3,4664,300,6.43,4364,85.7
"11","Stord (-2019)_1221",126,0,0,22,40,0,20,11,27,173,7252,210,16,62,2,0,7961,709,8.91,8773,1521,17.34,7252,91.09
"12","Fitjar (-2019)_1222",12,0,0,0,7,0,6,0,3,26,419,895,1,8,1,0,1378,483,35.05,1140,245,21.49,895,64.95
"13","Tysnes (-2019)_1223",2,0,0,1,8,0,1,1,0,2,73,3,926,21,1,2,1041,115,11.05,964,38,3.94,926,88.95
"14","Kvinnherad (-2019)_1224",35,5,0,5,13,0,10,10,1,11,181,9,12,5443,71,8,5814,371,6.38,5612,169,3.01,5443,93.62
"15","Odda (1913-2019)_1228",22,1,0,5,5,0,10,13,0,3,21,0,0,28,2991,70,3169,178,5.62,3469,478,13.78,2991,94.38
"16","Ullensvang (1977-2019)_1231",6,0,0,0,2,0,0,1,0,0,3,0,0,9,355,1183,1559,376,24.12,1274,91,7.14,1183,75.88
