"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12102,3,27,948,2405,5,253,23,210,43,107,3,4,13,6,0,16152,4050,25.07,20390,8288,40.65,12102,74.93
"2","Sauda_1135",49,1820,0,2,7,0,23,8,0,0,5,0,0,0,1,0,1915,95,4.96,1842,22,1.19,1820,95.04
"3","Bokn_1145",55,0,217,40,31,0,16,0,2,0,1,0,0,1,0,0,363,146,40.22,302,85,28.15,217,59.78
"4","Tysvær_1146",1593,1,28,2306,565,0,265,11,41,7,18,0,3,1,0,0,4839,2533,52.35,4321,2015,46.63,2306,47.65
"5","Karmøy_1149",4985,4,23,650,11799,2,184,21,44,17,37,1,5,8,3,0,17783,5984,33.65,15237,3438,22.56,11799,66.35
"6","Utsira_1151",5,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,97,7,7.22,97,7,7.22,90,92.78
"7","Vindafjord_1160",306,7,1,160,85,0,3407,149,13,4,32,0,0,1,7,1,4173,766,18.36,4668,1261,27.01,3407,81.64
"8","Etne (-2019)_1211",57,1,1,23,22,0,372,1320,3,0,8,0,0,19,26,0,1852,532,28.73,1608,288,17.91,1320,71.27
"9","Sveio (-2019)_1216",833,0,3,143,180,0,85,13,1087,34,129,5,5,1,1,0,2519,1432,56.85,1483,396,26.7,1087,43.15
"10","Bømlo (1916-2019)_1219",118,0,2,12,36,0,5,1,37,4275,595,25,5,4,1,0,5116,841,16.44,4637,362,7.81,4275,83.56
"11","Stord (-2019)_1221",193,0,0,26,66,0,23,18,38,227,7400,223,33,34,5,1,8287,887,10.7,9076,1676,18.47,7400,89.3
"12","Fitjar (-2019)_1222",12,0,0,3,6,0,5,0,6,14,451,902,1,5,0,0,1405,503,35.8,1169,267,22.84,902,64.2
"13","Tysnes (-2019)_1223",2,0,0,1,8,0,0,0,2,2,76,3,922,21,0,0,1037,115,11.09,1010,88,8.71,922,88.91
"14","Kvinnherad (-2019)_1224",39,1,0,2,17,0,23,27,0,11,210,7,32,5115,53,2,5539,424,7.65,5247,132,2.52,5115,92.35
"15","Odda (1913-2019)_1228",40,4,0,4,6,0,6,15,0,1,6,0,0,17,2895,66,3060,165,5.39,3342,447,13.38,2895,94.61
"16","Ullensvang (1977-2019)_1231",1,1,0,1,2,0,1,2,0,2,1,0,0,7,344,1044,1406,362,25.75,1114,70,6.28,1044,74.25
