"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",11936,7,26,803,2065,0,217,32,138,39,111,4,2,10,7,2,15399,3463,22.49,20263,8327,41.09,11936,77.51
"2","Sauda_1135",42,1999,0,7,5,0,11,2,0,2,5,0,0,0,2,0,2075,76,3.66,2028,29,1.43,1999,96.34
"3","Bokn_1145",53,1,212,49,9,0,12,0,2,1,2,0,0,0,0,0,341,129,37.83,285,73,25.61,212,62.17
"4","Tysvær_1146",1539,2,27,2325,447,0,212,10,26,5,18,1,0,1,3,0,4616,2291,49.63,3940,1615,40.99,2325,50.37
"5","Karmøy_1149",5032,2,11,488,11966,1,179,11,33,19,65,0,1,3,6,1,17818,5852,32.84,14813,2847,19.22,11966,67.16
"6","Utsira_1151",7,0,0,0,2,104,0,1,0,0,0,0,0,0,0,0,114,10,8.77,106,2,1.89,104,91.23
"7","Vindafjord_1160",337,10,2,128,84,0,3194,107,9,2,29,0,0,2,7,1,3912,718,18.35,4251,1057,24.86,3194,81.65
"8","Etne (-2019)_1211",77,1,0,21,15,0,343,1394,2,0,28,1,0,19,28,0,1929,535,27.73,1601,207,12.93,1394,72.27
"9","Sveio (-2019)_1216",855,0,6,95,127,0,37,8,1065,19,93,1,1,3,0,0,2310,1245,53.9,1342,277,20.64,1065,46.1
"10","Bømlo (1916-2019)_1219",107,0,1,8,33,0,6,3,30,4360,509,14,1,4,0,1,5077,717,14.12,4652,292,6.28,4360,85.88
"11","Stord (-2019)_1221",174,1,0,10,31,0,12,8,31,158,7498,180,10,63,2,1,8179,681,8.33,9123,1625,17.81,7498,91.67
"12","Fitjar (-2019)_1222",13,0,0,0,9,1,3,0,2,26,434,882,3,4,1,0,1378,496,35.99,1094,212,19.38,882,64.01
"13","Tysnes (-2019)_1223",8,0,0,1,4,0,2,0,0,4,89,2,916,27,1,1,1055,139,13.18,947,31,3.27,916,86.82
"14","Kvinnherad (-2019)_1224",31,2,0,1,13,0,12,18,3,10,214,8,13,5586,44,3,5958,372,6.24,5763,177,3.07,5586,93.76
"15","Odda (1913-2019)_1228",43,2,0,2,1,0,9,7,1,3,24,1,0,26,3082,61,3262,180,5.52,3544,462,13.04,3082,94.48
"16","Ullensvang (1977-2019)_1231",9,1,0,2,2,0,2,0,0,4,4,0,0,15,361,1175,1575,400,25.4,1246,71,5.7,1175,74.6
