"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12295,13,22,872,1991,2,224,43,146,49,72,1,2,11,3,4,15750,3455,21.94,20713,8418,40.64,12295,78.06
"2","Sauda_1135",34,1971,0,1,16,0,9,5,0,0,6,0,1,1,0,4,2048,77,3.76,2019,48,2.38,1971,96.24
"3","Bokn_1145",50,0,206,48,11,0,18,1,0,2,3,0,0,0,0,0,339,133,39.23,282,76,26.95,206,60.77
"4","Tysvær_1146",1630,4,30,2525,424,0,244,19,35,8,19,1,0,0,0,1,4940,2415,48.89,4308,1783,41.39,2525,51.11
"5","Karmøy_1149",5101,6,19,524,11466,3,215,23,32,20,53,3,2,13,4,1,17485,6019,34.42,14277,2811,19.69,11466,65.58
"6","Utsira_1151",9,0,0,0,1,102,0,0,1,0,0,0,0,0,0,0,113,11,9.73,107,5,4.67,102,90.27
"7","Vindafjord_1160",332,13,0,154,88,0,3331,151,5,1,20,0,1,3,4,3,4106,775,18.87,4528,1197,26.44,3331,81.13
"8","Etne (-2019)_1211",76,2,0,23,19,0,353,1427,1,1,12,0,0,23,26,0,1963,536,27.31,1716,289,16.84,1427,72.69
"9","Sveio (-2019)_1216",888,2,3,126,135,0,51,12,1054,26,79,0,1,4,1,0,2382,1328,55.75,1340,286,21.34,1054,44.25
"10","Bømlo (1916-2019)_1219",95,0,2,5,33,0,17,0,36,4340,551,22,2,12,0,0,5115,775,15.15,4671,331,7.09,4340,84.85
"11","Stord (-2019)_1221",123,0,0,21,53,0,33,6,26,187,7363,217,19,64,1,0,8113,750,9.24,8880,1517,17.08,7363,90.76
"12","Fitjar (-2019)_1222",12,0,0,0,10,0,5,0,2,23,427,923,2,5,1,0,1410,487,34.54,1178,255,21.65,923,65.46
"13","Tysnes (-2019)_1223",4,0,0,0,8,0,1,0,0,2,78,4,919,16,2,2,1036,117,11.29,965,46,4.77,919,88.71
"14","Kvinnherad (-2019)_1224",36,4,0,7,17,0,17,15,1,11,177,7,16,5480,75,5,5868,388,6.61,5669,189,3.33,5480,93.39
"15","Odda (1913-2019)_1228",22,3,0,2,3,0,9,11,0,1,18,0,0,28,2983,58,3138,155,4.94,3461,478,13.81,2983,95.06
"16","Ullensvang (1977-2019)_1231",6,1,0,0,2,0,1,3,1,0,2,0,0,9,361,1139,1525,386,25.31,1217,78,6.41,1139,74.69
