"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",11947,13,27,811,1908,2,215,35,137,37,111,3,3,10,8,1,15268,3321,21.75,20128,8181,40.64,11947,78.25
"2","Sauda_1135",38,2011,1,3,9,0,7,6,0,0,7,0,0,0,2,0,2084,73,3.5,2053,42,2.05,2011,96.5
"3","Bokn_1145",53,0,205,47,9,0,14,0,3,1,2,0,0,0,0,0,334,129,38.62,279,74,26.52,205,61.38
"4","Tysvær_1146",1527,2,25,2342,415,0,210,15,33,5,19,1,0,0,2,0,4596,2254,49.04,4013,1671,41.64,2342,50.96
"5","Karmøy_1149",5005,3,12,516,11612,4,191,17,40,18,66,0,1,6,4,0,17495,5883,33.63,14265,2653,18.6,11612,66.37
"6","Utsira_1151",7,0,0,0,3,92,0,1,0,0,0,0,0,0,0,0,103,11,10.68,99,7,7.07,92,89.32
"7","Vindafjord_1160",332,15,1,139,76,0,3182,127,9,3,32,0,0,2,6,1,3925,743,18.93,4258,1076,25.27,3182,81.07
"8","Etne (-2019)_1211",72,1,1,18,19,0,344,1384,0,0,20,0,0,17,27,1,1904,520,27.31,1625,241,14.83,1384,72.69
"9","Sveio (-2019)_1216",824,0,6,106,112,1,38,10,1089,25,92,3,1,3,1,0,2311,1222,52.88,1369,280,20.45,1089,47.12
"10","Bømlo (1916-2019)_1219",100,0,1,12,33,0,12,1,28,4367,519,13,2,4,0,1,5093,726,14.25,4673,306,6.55,4367,85.75
"11","Stord (-2019)_1221",122,1,0,9,43,0,18,7,26,173,7440,192,14,58,3,0,8106,666,8.22,9050,1610,17.79,7440,91.78
"12","Fitjar (-2019)_1222",10,0,0,0,7,0,3,0,2,23,442,889,1,8,1,0,1386,497,35.86,1111,222,19.98,889,64.14
"13","Tysnes (-2019)_1223",5,0,0,2,4,0,3,1,0,5,83,2,906,27,1,2,1041,135,12.97,939,33,3.51,906,87.03
"14","Kvinnherad (-2019)_1224",36,5,0,2,11,0,9,14,1,11,193,8,11,5518,61,4,5884,366,6.22,5687,169,2.97,5518,93.78
"15","Odda (1913-2019)_1228",42,2,0,4,3,0,9,7,1,4,20,0,0,22,3061,59,3234,173,5.35,3539,478,13.51,3061,94.65
"16","Ullensvang (1977-2019)_1231",8,0,0,2,1,0,3,0,0,1,4,0,0,12,362,1175,1568,393,25.06,1244,69,5.55,1175,74.94
