Aar,NACE2007,SN2007,alder,ansatte
2009,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1028
2010,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1207
2011,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1239
2012,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1284
2013,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1372
2014,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1391
2015,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1384
2016,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1332
2017,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1369
2018,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1202
2019,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1173
2020,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,1098
2008,77-82,Forretningsmessig tjenesteyting,15-74 år,1029
2009,77-82,Forretningsmessig tjenesteyting,15-74 år,867
2010,77-82,Forretningsmessig tjenesteyting,15-74 år,823
2011,77-82,Forretningsmessig tjenesteyting,15-74 år,886
2012,77-82,Forretningsmessig tjenesteyting,15-74 år,924
2013,77-82,Forretningsmessig tjenesteyting,15-74 år,890
2014,77-82,Forretningsmessig tjenesteyting,15-74 år,915
2015,77-82,Forretningsmessig tjenesteyting,15-74 år,678
2016,77-82,Forretningsmessig tjenesteyting,15-74 år,613
2017,77-82,Forretningsmessig tjenesteyting,15-74 år,752
2018,77-82,Forretningsmessig tjenesteyting,15-74 år,647
2019,77-82,Forretningsmessig tjenesteyting,15-74 år,765
2020,77-82,Forretningsmessig tjenesteyting,15-74 år,717
2008,84,"Off.adm., forsvar, sosialforsikring",15-74 år,927
2009,84,"Off.adm., forsvar, sosialforsikring",15-74 år,968
2010,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1022
2011,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1020
2012,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1068
2013,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1094
2014,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1152
2015,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1080
2016,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1121
2017,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1114
2018,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1122
2019,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1276
2020,84,"Off.adm., forsvar, sosialforsikring",15-74 år,1157
2008,85,Undervisning,15-74 år,1422
2009,85,Undervisning,15-74 år,1535
2010,85,Undervisning,15-74 år,1632
2011,85,Undervisning,15-74 år,1637
2012,85,Undervisning,15-74 år,1721
2013,85,Undervisning,15-74 år,1709
2014,85,Undervisning,15-74 år,1733
2015,85,Undervisning,15-74 år,1680
2016,85,Undervisning,15-74 år,1764
2017,85,Undervisning,15-74 år,1771
2018,85,Undervisning,15-74 år,1743
2019,85,Undervisning,15-74 år,1716
2020,85,Undervisning,15-74 år,1720
2008,86-88,Helse- og sosialtjenester,15-74 år,4812
2009,86-88,Helse- og sosialtjenester,15-74 år,4865
2010,86-88,Helse- og sosialtjenester,15-74 år,4952
2011,86-88,Helse- og sosialtjenester,15-74 år,5133
2012,86-88,Helse- og sosialtjenester,15-74 år,5040
2013,86-88,Helse- og sosialtjenester,15-74 år,5057
2014,86-88,Helse- og sosialtjenester,15-74 år,5096
2015,86-88,Helse- og sosialtjenester,15-74 år,5395
2016,86-88,Helse- og sosialtjenester,15-74 år,5416
2017,86-88,Helse- og sosialtjenester,15-74 år,5513
2018,86-88,Helse- og sosialtjenester,15-74 år,5567
2019,86-88,Helse- og sosialtjenester,15-74 år,5608
2020,86-88,Helse- og sosialtjenester,15-74 år,5713
2008,90-99,Personlig tjenesteyting,15-74 år,675
2009,90-99,Personlig tjenesteyting,15-74 år,627
2010,90-99,Personlig tjenesteyting,15-74 år,628
2011,90-99,Personlig tjenesteyting,15-74 år,636
2012,90-99,Personlig tjenesteyting,15-74 år,630
2013,90-99,Personlig tjenesteyting,15-74 år,650
2014,90-99,Personlig tjenesteyting,15-74 år,646
2015,90-99,Personlig tjenesteyting,15-74 år,658
2016,90-99,Personlig tjenesteyting,15-74 år,683
2017,90-99,Personlig tjenesteyting,15-74 år,740
2018,90-99,Personlig tjenesteyting,15-74 år,716
2019,90-99,Personlig tjenesteyting,15-74 år,703
2020,90-99,Personlig tjenesteyting,15-74 år,713
2008,00,Uoppgitt,15-74 år,74
2009,00,Uoppgitt,15-74 år,82
2010,00,Uoppgitt,15-74 år,93
2011,00,Uoppgitt,15-74 år,80
2012,00,Uoppgitt,15-74 år,81
2013,00,Uoppgitt,15-74 år,76
2014,00,Uoppgitt,15-74 år,75
2015,00,Uoppgitt,15-74 år,126
2016,00,Uoppgitt,15-74 år,123
2017,00,Uoppgitt,15-74 år,124
2018,00,Uoppgitt,15-74 år,114
2019,00,Uoppgitt,15-74 år,100
2020,00,Uoppgitt,15-74 år,90
2008,00-99,Alle næringer,15-74 år,2136
2009,00-99,Alle næringer,15-74 år,2176
2010,00-99,Alle næringer,15-74 år,2180
2011,00-99,Alle næringer,15-74 år,2131
2012,00-99,Alle næringer,15-74 år,2100
2013,00-99,Alle næringer,15-74 år,2048
2014,00-99,Alle næringer,15-74 år,2073
2015,00-99,Alle næringer,15-74 år,1977
2016,00-99,Alle næringer,15-74 år,1951
2017,00-99,Alle næringer,15-74 år,1956
2018,00-99,Alle næringer,15-74 år,1937
2019,00-99,Alle næringer,15-74 år,1945
2020,00-99,Alle næringer,15-74 år,1970
2008,01-03,"Jordbruk, skogbruk og fiske",15-74 år,36
2009,01-03,"Jordbruk, skogbruk og fiske",15-74 år,43
2010,01-03,"Jordbruk, skogbruk og fiske",15-74 år,36
2011,01-03,"Jordbruk, skogbruk og fiske",15-74 år,36
2012,01-03,"Jordbruk, skogbruk og fiske",15-74 år,39
2013,01-03,"Jordbruk, skogbruk og fiske",15-74 år,36
2014,01-03,"Jordbruk, skogbruk og fiske",15-74 år,33
2015,01-03,"Jordbruk, skogbruk og fiske",15-74 år,25
2016,01-03,"Jordbruk, skogbruk og fiske",15-74 år,26
2017,01-03,"Jordbruk, skogbruk og fiske",15-74 år,21
2018,01-03,"Jordbruk, skogbruk og fiske",15-74 år,28
2019,01-03,"Jordbruk, skogbruk og fiske",15-74 år,30
2020,01-03,"Jordbruk, skogbruk og fiske",15-74 år,26
2008,05-09,Bergverksdrift og utvinning,15-74 år,0
2009,05-09,Bergverksdrift og utvinning,15-74 år,0
2010,05-09,Bergverksdrift og utvinning,15-74 år,0
2011,05-09,Bergverksdrift og utvinning,15-74 år,0
2012,05-09,Bergverksdrift og utvinning,15-74 år,0
2013,05-09,Bergverksdrift og utvinning,15-74 år,0
2014,05-09,Bergverksdrift og utvinning,15-74 år,0
2015,05-09,Bergverksdrift og utvinning,15-74 år,0
2016,05-09,Bergverksdrift og utvinning,15-74 år,0
2017,05-09,Bergverksdrift og utvinning,15-74 år,0
2018,05-09,Bergverksdrift og utvinning,15-74 år,0
2019,05-09,Bergverksdrift og utvinning,15-74 år,0
2020,05-09,Bergverksdrift og utvinning,15-74 år,0
2008,10-33,Industri,15-74 år,468
2009,10-33,Industri,15-74 år,429
2010,10-33,Industri,15-74 år,414
2011,10-33,Industri,15-74 år,395
2012,10-33,Industri,15-74 år,394
2013,10-33,Industri,15-74 år,401
2014,10-33,Industri,15-74 år,408
2015,10-33,Industri,15-74 år,383
2016,10-33,Industri,15-74 år,345
2017,10-33,Industri,15-74 år,345
2018,10-33,Industri,15-74 år,342
2019,10-33,Industri,15-74 år,360
2020,10-33,Industri,15-74 år,367
2008,35-39,"Elektrisitet, vann og renovasjon",15-74 år,113
2009,35-39,"Elektrisitet, vann og renovasjon",15-74 år,121
2010,35-39,"Elektrisitet, vann og renovasjon",15-74 år,120
2011,35-39,"Elektrisitet, vann og renovasjon",15-74 år,124
2012,35-39,"Elektrisitet, vann og renovasjon",15-74 år,138
2013,35-39,"Elektrisitet, vann og renovasjon",15-74 år,125
2014,35-39,"Elektrisitet, vann og renovasjon",15-74 år,127
2015,35-39,"Elektrisitet, vann og renovasjon",15-74 år,123
2016,35-39,"Elektrisitet, vann og renovasjon",15-74 år,131
2017,35-39,"Elektrisitet, vann og renovasjon",15-74 år,127
2018,35-39,"Elektrisitet, vann og renovasjon",15-74 år,129
2019,35-39,"Elektrisitet, vann og renovasjon",15-74 år,126
2020,35-39,"Elektrisitet, vann og renovasjon",15-74 år,140
2008,41-43,Bygge- og anleggsvirksomhet,15-74 år,176
2009,41-43,Bygge- og anleggsvirksomhet,15-74 år,180
2010,41-43,Bygge- og anleggsvirksomhet,15-74 år,177
2011,41-43,Bygge- og anleggsvirksomhet,15-74 år,179
2012,41-43,Bygge- og anleggsvirksomhet,15-74 år,190
2013,41-43,Bygge- og anleggsvirksomhet,15-74 år,195
2014,41-43,Bygge- og anleggsvirksomhet,15-74 år,195
2015,41-43,Bygge- og anleggsvirksomhet,15-74 år,197
2016,41-43,Bygge- og anleggsvirksomhet,15-74 år,207
2017,41-43,Bygge- og anleggsvirksomhet,15-74 år,219
2018,41-43,Bygge- og anleggsvirksomhet,15-74 år,210
2019,41-43,Bygge- og anleggsvirksomhet,15-74 år,198
2020,41-43,Bygge- og anleggsvirksomhet,15-74 år,206
2008,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,183
