Knr,Kjonn,Alder,ContentsCode,Aar,knavn,00-99,01-03,05-09,10-33,35-39,41-43,45-47,49-53,55-56,58-63,64-66,68-75,77-82,84,85,86-88,90-99,00
1106,0,15-74,Sysselsatte,2008,1106,17611,130,859,2289,183,1134,2592,1054,723,376,245,757,1019,685,1324,3648,516,77
1106,0,15-74,Sysselsatte,2009,1106,17294,114,881,2086,174,1138,2559,1035,681,351,233,803,831,713,1427,3679,507,82
1106,0,15-74,Sysselsatte,2010,1106,17460,122,952,1885,182,1146,2539,1005,759,393,215,894,854,770,1466,3679,506,93
1106,0,15-74,Sysselsatte,2011,1106,17901,124,1003,1936,186,1230,2558,969,763,400,198,923,921,764,1465,3832,548,81
1106,0,15-74,Sysselsatte,2012,1106,18178,125,1117,1999,186,1249,2529,973,824,386,187,966,944,828,1519,3715,545,86
1106,0,15-74,Sysselsatte,2013,1106,18337,115,1121,2018,195,1321,2482,969,875,400,173,1002,865,875,1507,3783,560,76
1106,0,15-74,Sysselsatte,2014,1106,18609,120,1112,1983,211,1304,2516,1031,864,403,162,1054,930,886,1538,3851,567,77
1106,0,15-74,Sysselsatte,2015,1106,17855,122,1028,1809,190,1241,2388,1029,746,371,156,974,762,832,1526,3969,582,130
1106,0,15-74,Sysselsatte,2016,1106,17806,110,943,1744,183,1226,2378,999,772,362,148,958,807,848,1603,3998,614,113
1106,0,15-74,Sysselsatte,2017,1106,18117,123,944,1765,183,1242,2357,990,815,364,147,993,891,834,1639,4067,642,121
1106,0,15-74,Sysselsatte,2018,1106,18295,107,1094,1776,184,1236,2354,1021,805,415,141,930,874,861,1636,4107,642,112
1106,0,15-74,Sysselsatte,2019,1106,18448,110,1141,1884,181,1225,2216,1006,804,443,132,952,913,935,1612,4187,608,99
1106,0,15-74,Sysselsatte,2020,1106,18137,120,1130,1905,197,1146,2147,968,693,484,128,917,883,864,1600,4259,605,91
1135,0,15-74,Sysselsatte,2008,1135,2430,62,98,519,101,193,209,93,59,23,17,43,114,91,199,539,60,10
1135,0,15-74,Sysselsatte,2009,1135,2430,59,101,460,109,194,210,98,69,20,15,41,94,101,206,557,87,9
1135,0,15-74,Sysselsatte,2010,1135,2416,54,112,440,102,200,230,93,71,20,18,49,83,103,206,552,65,18
1135,0,15-74,Sysselsatte,2011,1135,2419,57,119,423,105,204,217,96,75,24,15,52,84,112,211,543,70,12
1135,0,15-74,Sysselsatte,2012,1135,2384,49,136,422,119,219,220,98,58,25,10,58,85,102,197,508,67,11
1135,0,15-74,Sysselsatte,2013,1135,2364,47,139,431,108,224,201,98,66,23,9,54,78,109,193,501,72,11
1135,0,15-74,Sysselsatte,2014,1135,2391,49,132,434,111,225,202,94,56,20,9,64,97,98,195,541,54,10
1135,0,15-74,Sysselsatte,2015,1135,2267,45,121,405,103,215,186,87,60,23,6,53,75,96,201,506,60,25
1135,0,15-74,Sysselsatte,2016,1135,2229,45,107,370,109,227,179,94,59,14,6,51,71,99,217,500,63,18
1135,0,15-74,Sysselsatte,2017,1135,2239,32,118,357,117,238,175,100,67,12,6,45,79,102,205,504,60,22
1135,0,15-74,Sysselsatte,2018,1135,2226,39,122,358,120,221,192,84,67,10,6,41,85,96,214,490,65,16
1135,0,15-74,Sysselsatte,2019,1135,2234,37,140,370,111,222,178,86,67,21,6,40,81,91,195,506,65,18
1135,0,15-74,Sysselsatte,2020,1135,2212,40,138,365,114,218,170,94,40,19,3,41,79,94,205,513,61,18
1145,0,15-74,Sysselsatte,2008,1145,412,57,30,48,3,28,41,55,12,6,3,6,9,18,25,68,3,0
1145,0,15-74,Sysselsatte,2009,1145,407,61,31,39,0,28,40,51,16,3,3,9,6,20,28,69,3,0
1145,0,15-74,Sysselsatte,2010,1145,420,63,36,36,3,26,33,52,17,6,0,11,12,17,33,66,6,3
1145,0,15-74,Sysselsatte,2011,1145,428,72,39,39,3,24,37,47,12,6,3,12,10,19,35,64,3,3
1145,0,15-74,Sysselsatte,2012,1145,425,63,42,39,3,24,39,50,9,6,3,6,12,19,23,75,9,3
1145,0,15-74,Sysselsatte,2013,1145,439,55,46,44,0,35,34,56,3,6,0,6,16,17,32,77,9,3
1145,0,15-74,Sysselsatte,2014,1145,434,55,45,46,0,36,39,56,3,6,0,6,10,18,28,77,6,3
1145,0,15-74,Sysselsatte,2015,1145,424,61,42,42,0,42,32,56,6,3,3,3,10,12,27,76,6,3
1145,0,15-74,Sysselsatte,2016,1145,427,68,41,40,3,35,34,58,3,3,3,3,12,18,24,73,3,6
1145,0,15-74,Sysselsatte,2017,1145,424,79,36,39,0,40,29,56,6,3,0,3,12,17,23,75,3,3
1145,0,15-74,Sysselsatte,2018,1145,425,73,39,45,0,35,37,53,3,3,3,3,9,16,23,74,6,3
