Knr,Kjonn,Alder,ContentsCode,Aar,knavn,00-99,01-03,05-09,10-33,35-39,41-43,45-47,49-53,55-56,58-63,64-66,68-75,77-82,84,85,86-88,90-99,00
1135,0,15-74,SysselsatteArb,2018,1135,1937,28,0,342,129,210,171,69,57,12,3,28,68,88,209,452,55,16
1135,0,15-74,SysselsatteArb,2019,1135,1945,30,0,360,126,198,158,70,59,15,3,29,67,86,208,466,55,15
1135,0,15-74,SysselsatteArb,2020,1135,1970,26,0,367,140,206,158,75,33,13,NA,33,64,97,215,473,53,NA
1135,0,55-66,SysselsatteArb,2008,1135,433,12,0,101,27,25,23,22,3,3,3,8,15,18,59,96,11,7
1135,0,55-66,SysselsatteArb,2009,1135,434,12,0,101,31,25,24,22,3,3,3,10,7,24,57,96,10,6
1135,0,55-66,SysselsatteArb,2010,1135,454,11,0,109,32,23,29,19,4,0,6,13,8,20,57,101,13,9
1135,0,55-66,SysselsatteArb,2011,1135,467,7,0,111,35,23,28,26,7,0,6,13,4,20,64,106,12,5
1135,0,55-66,SysselsatteArb,2012,1135,462,7,0,113,37,22,31,26,6,0,3,8,6,20,66,102,10,5
1135,0,55-66,SysselsatteArb,2013,1135,456,5,0,113,39,23,33,17,3,0,3,6,9,24,59,101,13,8
1135,0,55-66,SysselsatteArb,2014,1135,480,5,0,114,42,27,28,18,0,3,0,13,13,25,68,108,12,4
1135,0,55-66,SysselsatteArb,2015,1135,466,3,0,112,37,31,33,16,3,3,0,6,10,21,64,107,13,7
1135,0,55-66,SysselsatteArb,2016,1135,453,7,0,107,38,31,27,16,3,0,0,6,9,20,63,107,11,8
1135,0,55-66,SysselsatteArb,2017,1135,457,3,0,107,37,36,28,17,3,3,0,4,10,20,61,112,12,4
1135,0,55-66,SysselsatteArb,2018,1135,459,7,0,106,37,37,26,19,7,3,0,5,12,15,59,107,12,7
1135,0,55-66,SysselsatteArb,2019,1135,462,7,0,103,42,39,29,17,6,3,0,4,12,16,54,111,13,6
1135,0,55-66,SysselsatteArb,2020,1135,467,7,0,107,51,45,26,20,3,0,NA,8,9,20,52,104,12,NA
1135,0,67-74,SysselsatteArb,2008,1135,45,3,0,3,0,3,3,4,0,0,3,3,3,0,0,17,3,0
1135,0,67-74,SysselsatteArb,2009,1135,45,6,0,0,0,3,0,3,0,0,0,3,6,0,8,13,3,0
1135,0,67-74,SysselsatteArb,2010,1135,40,3,0,0,0,0,3,3,0,0,0,3,0,0,9,13,3,3
1135,0,67-74,SysselsatteArb,2011,1135,41,7,0,0,3,3,0,3,0,0,0,4,3,0,3,12,3,0
1135,0,67-74,SysselsatteArb,2012,1135,38,7,0,0,0,4,3,3,0,0,0,3,0,0,3,8,4,3
1135,0,67-74,SysselsatteArb,2013,1135,43,9,0,0,3,9,0,3,0,0,0,4,0,0,0,9,6,0
1135,0,67-74,SysselsatteArb,2014,1135,38,8,0,3,0,4,0,0,0,0,0,5,0,0,0,12,3,3
1135,0,67-74,SysselsatteArb,2015,1135,40,3,0,3,0,4,0,3,0,0,0,3,3,3,0,7,3,8
1135,0,67-74,SysselsatteArb,2016,1135,44,3,0,0,0,4,3,3,0,0,0,3,0,3,3,13,3,6
1135,0,67-74,SysselsatteArb,2017,1135,33,3,0,0,0,6,0,3,0,0,0,3,0,0,0,9,0,9
