Naering,Kjonn,ContentsCode,Aar,Haugesund_15-74,Haugesund_55-66,Haugesund_67-74,Sauda_15-74,Sauda_55-66,Sauda_67-74,Bokn_15-74
77-82,0,SysselsatteArb,2012,924,84,3,85,671,14,282
77-82,0,SysselsatteArb,2013,890,75,6,138,628,13,274
77-82,0,SysselsatteArb,2014,915,97,3,167,616,9,324
77-82,0,SysselsatteArb,2015,678,63,9,169,586,6,162
77-82,0,SysselsatteArb,2016,613,61,6,152,727,3,170
77-82,0,SysselsatteArb,2017,752,65,6,169,810,6,168
77-82,0,SysselsatteArb,2018,647,68,6,180,892,6,160
77-82,0,SysselsatteArb,2019,765,67,3,180,861,6,157
77-82,0,SysselsatteArb,2020,717,64,NA,202,883,3,163
84,0,SysselsatteArb,2008,927,83,14,143,394,10,158
84,0,SysselsatteArb,2009,968,94,15,153,367,6,151
84,0,SysselsatteArb,2010,1022,95,14,145,379,13,166
84,0,SysselsatteArb,2011,1020,105,21,163,390,7,177
84,0,SysselsatteArb,2012,1068,95,16,165,448,9,181
84,0,SysselsatteArb,2013,1094,93,18,160,466,6,186
84,0,SysselsatteArb,2014,1152,89,17,164,474,9,196
84,0,SysselsatteArb,2015,1080,89,15,134,427,9,184
84,0,SysselsatteArb,2016,1121,96,13,142,476,6,187
84,0,SysselsatteArb,2017,1114,94,16,134,469,6,184
84,0,SysselsatteArb,2018,1122,88,12,139,437,6,188
84,0,SysselsatteArb,2019,1276,86,21,129,476,6,194
84,0,SysselsatteArb,2020,1157,97,18,143,481,6,177
85,0,SysselsatteArb,2008,1422,209,32,353,1203,10,349
85,0,SysselsatteArb,2009,1535,224,39,386,1244,9,330
85,0,SysselsatteArb,2010,1632,232,42,387,1199,9,349
85,0,SysselsatteArb,2011,1637,231,45,392,1154,12,353
85,0,SysselsatteArb,2012,1721,222,33,406,1162,11,356
85,0,SysselsatteArb,2013,1709,214,33,353,1197,12,369
85,0,SysselsatteArb,2014,1733,225,35,353,1244,13,370
85,0,SysselsatteArb,2015,1680,216,28,342,1197,10,377
85,0,SysselsatteArb,2016,1764,221,34,338,1213,9,372
85,0,SysselsatteArb,2017,1771,201,29,342,1257,13,378
85,0,SysselsatteArb,2018,1743,209,26,348,1294,17,386
85,0,SysselsatteArb,2019,1716,208,26,340,1318,12,370
85,0,SysselsatteArb,2020,1720,215,23,345,1333,NA,385
86-88,0,SysselsatteArb,2008,4812,522,74,833,2771,21,563
86-88,0,SysselsatteArb,2009,4865,544,77,831,2885,24,577
86-88,0,SysselsatteArb,2010,4952,546,84,810,2807,24,575
86-88,0,SysselsatteArb,2011,5133,518,73,827,2950,24,599
86-88,0,SysselsatteArb,2012,5040,474,97,818,2929,23,636
86-88,0,SysselsatteArb,2013,5057,469,99,806,3002,21,662
86-88,0,SysselsatteArb,2014,5096,510,100,842,3162,22,693
86-88,0,SysselsatteArb,2015,5395,470,85,858,3151,23,694
86-88,0,SysselsatteArb,2016,5416,470,76,802,3167,27,706
86-88,0,SysselsatteArb,2017,5513,480,80,834,3197,24,704
86-88,0,SysselsatteArb,2018,5567,452,76,834,3297,20,740
86-88,0,SysselsatteArb,2019,5608,466,91,843,3280,20,742
86-88,0,SysselsatteArb,2020,5713,473,82,844,3208,NA,730
90-99,0,SysselsatteArb,2008,675,46,3,85,371,3,49
90-99,0,SysselsatteArb,2009,627,75,3,84,404,3,51
90-99,0,SysselsatteArb,2010,628,52,3,93,372,0,49
90-99,0,SysselsatteArb,2011,636,56,3,91,384,3,46
90-99,0,SysselsatteArb,2012,630,65,6,97,370,3,46
90-99,0,SysselsatteArb,2013,650,69,6,100,371,3,50
90-99,0,SysselsatteArb,2014,646,37,6,102,356,6,56
90-99,0,SysselsatteArb,2015,658,43,6,96,416,3,61
90-99,0,SysselsatteArb,2016,683,46,3,105,437,3,59
90-99,0,SysselsatteArb,2017,740,46,3,108,426,6,58
90-99,0,SysselsatteArb,2018,716,55,6,108,403,3,59
90-99,0,SysselsatteArb,2019,703,55,9,129,409,3,55
90-99,0,SysselsatteArb,2020,713,53,3,111,407,3,50
00,0,SysselsatteArb,2008,74,10,3,19,97,0,20
00,0,SysselsatteArb,2009,82,9,0,22,94,0,17
00,0,SysselsatteArb,2010,93,18,3,28,101,0,32
00,0,SysselsatteArb,2011,80,12,3,24,88,0,19
00,0,SysselsatteArb,2012,81,11,6,27,95,0,17
00,0,SysselsatteArb,2013,76,11,3,22,103,0,20
00,0,SysselsatteArb,2014,75,10,6,23,96,0,16
00,0,SysselsatteArb,2015,126,28,3,64,165,3,44
00,0,SysselsatteArb,2016,123,21,6,56,165,3,43
00,0,SysselsatteArb,2017,124,23,3,47,158,3,40
00,0,SysselsatteArb,2018,114,16,3,41,139,0,38
00,0,SysselsatteArb,2019,100,15,3,38,129,3,35
00,0,SysselsatteArb,2020,90,NA,3,33,107,NA,31
