Aar,Alle næringer_15-74 år,"Jordbruk, skogbruk og fiske_15-74 år",Bergverksdrift og utvinning_15-74 år,Industri_15-74 år,"Elektrisitet, vann og renovasjon_15-74 år",Bygge- og anleggsvirksomhet_15-74 år,"Varehandel, reparasjon av motorvogner_15-74 år",Transport og lagring_15-74 år,Overnattings- og serveringsvirksomhet_15-74 år,Informasjon og kommunikasjon_15-74 år,Finansiering og forsikring_15-74 år,"Teknisk tjenesteyting, eiendomsdrift_15-74 år",Forretningsmessig tjenesteyting_15-74 år,"Off.adm., forsvar, sosialforsikring_15-74 år",Undervisning_15-74 år,Helse- og sosialtjenester_15-74 år,Personlig tjenesteyting_15-74 år,Uoppgitt_15-74 år
2008,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
