Aar,NACE2007,SN2007,alder,sysselsatte
2013,90-99,Personlig tjenesteyting,67-74 år,4259
2014,90-99,Personlig tjenesteyting,67-74 år,4508
2015,90-99,Personlig tjenesteyting,67-74 år,3968
2016,90-99,Personlig tjenesteyting,67-74 år,4116
2017,90-99,Personlig tjenesteyting,67-74 år,4499
2018,90-99,Personlig tjenesteyting,67-74 år,4727
2019,90-99,Personlig tjenesteyting,67-74 år,5013
2020,90-99,Personlig tjenesteyting,67-74 år,4820
2008,00,Uoppgitt,15-74 år,11861
2009,00,Uoppgitt,15-74 år,11609
2010,00,Uoppgitt,15-74 år,14399
2011,00,Uoppgitt,15-74 år,13079
2012,00,Uoppgitt,15-74 år,13807
2013,00,Uoppgitt,15-74 år,13410
2014,00,Uoppgitt,15-74 år,13042
2015,00,Uoppgitt,15-74 år,26640
2016,00,Uoppgitt,15-74 år,25140
2017,00,Uoppgitt,15-74 år,23495
2018,00,Uoppgitt,15-74 år,21848
2019,00,Uoppgitt,15-74 år,20254
2020,00,Uoppgitt,15-74 år,19741
2008,00,Uoppgitt,55-66 år,3512
2009,00,Uoppgitt,55-66 år,3652
2010,00,Uoppgitt,55-66 år,4394
2011,00,Uoppgitt,55-66 år,4010
2012,00,Uoppgitt,55-66 år,4172
2013,00,Uoppgitt,55-66 år,3927
2014,00,Uoppgitt,55-66 år,3682
2015,00,Uoppgitt,55-66 år,7506
2016,00,Uoppgitt,55-66 år,6976
2017,00,Uoppgitt,55-66 år,6538
2018,00,Uoppgitt,55-66 år,5944
2019,00,Uoppgitt,55-66 år,5583
2020,00,Uoppgitt,55-66 år,5406
2008,00,Uoppgitt,67-74 år,1528
2009,00,Uoppgitt,67-74 år,1756
2010,00,Uoppgitt,67-74 år,1918
2011,00,Uoppgitt,67-74 år,1618
2012,00,Uoppgitt,67-74 år,2732
2013,00,Uoppgitt,67-74 år,2885
2014,00,Uoppgitt,67-74 år,2923
2015,00,Uoppgitt,67-74 år,7164
2016,00,Uoppgitt,67-74 år,6994
2017,00,Uoppgitt,67-74 år,6657
2018,00,Uoppgitt,67-74 år,6340
2019,00,Uoppgitt,67-74 år,5738
2020,00,Uoppgitt,67-74 år,5687
