Knr,Kjonn,ContentsCode,Aar,knavn,00-99_15-74,00-99_55-66,00-99_67-74,01-03_15-74,01-03_55-66,01-03_67-74,05-09_15-74,05-09_55-66,05-09_67-74,10-33_15-74,10-33_55-66,10-33_67-74,35-39_15-74,35-39_55-66,35-39_67-74,41-43_15-74,41-43_55-66,41-43_67-74,45-47_15-74,45-47_55-66,45-47_67-74,49-53_15-74,49-53_55-66,49-53_67-74,55-56_15-74,55-56_55-66,55-56_67-74,58-63_15-74,58-63_55-66,58-63_67-74,64-66_15-74,64-66_55-66,64-66_67-74,68-75_15-74,68-75_55-66,68-75_67-74,77-82_15-74,77-82_55-66,77-82_67-74,84_15-74,84_55-66,84_67-74,85_15-74,85_55-66,85_67-74,86-88_15-74,86-88_55-66,86-88_67-74,90-99_15-74,90-99_55-66,90-99_67-74,00_15-74,00_55-66,00_67-74
1135,0,SysselsatteArb,2015,1135,1977,466,40,25,3,3,0,0,0,383,112,3,123,37,0,197,31,4,170,33,0,64,16,3,48,3,0,24,3,0,3,0,0,31,6,3,63,10,3,89,21,3,216,64,0,470,107,7,43,13,3,28,7,8
1135,0,SysselsatteArb,2016,1135,1951,453,44,26,7,3,0,0,0,345,107,0,131,38,0,207,31,4,168,27,3,67,16,3,44,3,0,11,0,0,6,0,0,31,6,3,61,9,0,96,20,3,221,63,3,470,107,13,46,11,3,21,8,6
1135,0,SysselsatteArb,2017,1135,1956,457,33,21,3,3,0,0,0,345,107,0,127,37,0,219,36,6,164,28,0,77,17,3,55,3,0,12,3,0,3,0,0,24,4,3,65,10,0,94,20,0,201,61,0,480,112,9,46,12,0,23,4,9
1135,0,SysselsatteArb,2018,1135,1937,459,42,28,7,4,0,0,0,342,106,5,129,37,0,210,37,6,171,26,3,69,19,3,57,7,0,12,3,0,3,0,0,28,5,3,68,12,0,88,15,0,209,59,3,452,107,6,55,12,3,16,7,6
1135,0,SysselsatteArb,2019,1135,1945,462,41,30,7,4,0,0,0,360,103,3,126,42,3,198,39,4,158,29,3,70,17,3,59,6,0,15,3,0,3,0,0,29,4,3,67,12,0,86,16,3,208,54,3,466,111,5,55,13,4,15,6,3
1135,0,SysselsatteArb,2020,1135,1970,467,42,26,7,3,0,0,0,367,107,3,140,51,3,206,45,3,158,26,3,75,20,3,33,3,0,13,0,0,NA,NA,NA,33,8,3,64,9,3,97,20,0,215,52,3,473,104,5,53,12,4,NA,NA,NA
1145,0,SysselsatteArb,2008,1145,297,66,3,51,11,3,0,0,0,41,9,0,0,0,0,11,3,0,12,3,0,35,6,0,9,3,0,0,0,0,0,0,0,3,0,0,9,3,0,14,4,0,32,7,0,74,17,0,3,0,0,3,0,0
1145,0,SysselsatteArb,2009,1145,296,71,0,59,11,0,0,0,0,40,8,0,0,0,0,8,3,0,13,7,0,27,3,0,6,0,0,0,0,0,0,0,0,3,0,0,6,3,0,15,4,0,39,9,0,77,20,0,3,3,0,0,0,0
1145,0,SysselsatteArb,2010,1145,291,63,7,54,3,4,0,0,0,31,7,0,0,0,0,7,3,0,13,7,0,28,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,14,6,0,42,5,0,84,20,3,3,3,0,3,0,0
1145,0,SysselsatteArb,2011,1145,293,60,7,67,8,4,0,0,0,31,4,0,0,0,0,8,3,0,15,6,0,21,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,21,10,3,45,5,0,73,15,0,3,3,0,3,0,0
1145,0,SysselsatteArb,2012,1145,317,64,10,52,6,4,0,0,0,51,7,0,0,0,0,8,3,0,19,4,3,20,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,16,8,0,33,9,0,97,18,0,6,3,0,6,0,3
1145,0,SysselsatteArb,2013,1145,327,65,16,57,6,4,0,0,0,54,8,0,0,0,0,11,3,3,13,4,0,24,6,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,18,8,3,33,9,0,99,15,3,6,3,3,3,0,0
1145,0,SysselsatteArb,2014,1145,327,58,19,49,5,6,0,0,0,54,8,0,0,0,0,11,0,4,16,7,0,27,3,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,17,6,0,35,10,0,100,16,3,6,3,0,6,0,3
1145,0,SysselsatteArb,2015,1145,301,67,10,56,8,7,0,0,0,36,5,0,0,0,0,16,3,3,15,6,0,26,9,0,3,0,0,3,0,0,0,0,0,0,0,0,9,0,0,15,7,0,28,7,0,85,16,0,6,3,0,3,3,0
1145,0,SysselsatteArb,2016,1145,306,51,22,61,6,10,0,0,0,43,3,0,0,0,0,13,4,3,15,3,3,30,9,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,3,13,6,0,34,6,0,76,14,0,3,0,0,6,0,3
1145,0,SysselsatteArb,2017,1145,311,54,16,74,6,9,0,0,0,37,5,0,0,0,0,13,4,3,12,3,0,32,13,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,0,16,6,0,29,6,0,80,11,4,3,0,0,3,0,0
1145,0,SysselsatteArb,2018,1145,291,53,13,65,6,7,0,0,0,43,8,0,0,0,0,12,3,3,9,0,0,27,12,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,12,3,0,26,8,0,76,10,3,6,3,0,3,0,0
1145,0,SysselsatteArb,2019,1145,327,63,21,67,9,6,0,0,0,52,11,3,0,0,0,9,3,0,10,3,0,33,12,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,21,6,3,26,5,0,91,14,3,9,0,6,3,0,0
1145,0,SysselsatteArb,2020,1145,323,61,13,67,10,3,0,0,0,63,14,3,0,0,0,9,3,3,12,6,0,31,9,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,18,6,0,23,5,0,82,8,4,3,0,0,3,0,0
1146,0,SysselsatteArb,2008,1146,4048,607,92,298,77,37,825,90,3,268,30,5,51,6,0,346,24,7,362,52,7,191,38,3,156,14,0,11,0,0,13,3,0,63,9,3,31,8,3,143,42,3,353,87,3,833,110,15,85,14,3,19,3,0
1146,0,SysselsatteArb,2009,1146,4160,624,104,282,72,43,872,72,0,270,34,4,54,9,0,385,33,6,363,58,9,181,31,6,163,19,3,12,3,0,6,0,0,62,9,4,34,15,0,153,38,3,386,92,6,831,121,14,84,14,3,22,4,3
1146,0,SysselsatteArb,2010,1146,4232,641,90,270,69,30,866,83,0,252,33,6,60,9,0,394,39,3,390,54,8,135,17,5,181,21,3,104,20,3,9,0,0,76,12,3,32,9,0,145,39,3,387,97,3,810,115,17,93,15,6,28,9,0
1146,0,SysselsatteArb,2011,1146,4475,692,102,239,66,30,850,98,0,252,36,8,67,10,0,663,46,5,390,57,8,137,19,4,124,18,3,105,18,5,12,3,0,69,16,0,70,16,0,163,38,7,392,101,8,827,127,18,91,16,3,24,7,3
1146,0,SysselsatteArb,2012,1146,4423,706,130,219,66,40,909,109,0,257,42,11,61,9,0,480,45,9,434,59,11,127,17,6,136,16,3,117,23,3,13,3,0,72,20,3,85,12,3,165,40,6,406,102,7,818,122,18,97,16,4,27,5,6
