"03321: Sysselsatte (15-74 år) per 4. kvartal. Pendlingsstrømmer, etter statistikkvariabel, arbeidsstedskommune, bostedskommune og år"

"statistikkvariabel";"arbeidsstedskommune";"bostedskommune";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Sysselsatte personer";"1135 Sauda";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1135 Sauda";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1135 Sauda";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"1135 Sauda";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"Sysselsatte personer";"1135 Sauda";"1211 Etne (-2019)";0;0;1;2;0;4;0;0;1;1;3;2;3;3;2;2;1;1;1;1;0
"Sysselsatte personer";"1135 Sauda";"1216 Sveio (-2019)";1;1;0;0;0;0;1;0;0;0;0;2;3;2;1;0;0;0;0;2;0
"Sysselsatte personer";"1135 Sauda";"1219 Bømlo (1916-2019)";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0
"Sysselsatte personer";"1135 Sauda";"1221 Stord (-2019)";0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
"Sysselsatte personer";"1135 Sauda";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1135 Sauda";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1135 Sauda";"1224 Kvinnherad (-2019)";0;0;1;2;2;6;2;2;2;5;5;4;4;3;1;2;2;1;1;1;0
"Sysselsatte personer";"1135 Sauda";"1228 Odda (1913-2019)";0;0;1;1;3;1;1;1;2;2;1;3;5;5;5;5;5;4;3;2;0
"Sysselsatte personer";"1135 Sauda";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0
"Sysselsatte personer";"1145 Bokn";"1106 Haugesund";15;24;19;27;21;21;26;22;26;27;23;22;28;32;30;18;28;27;23;19;22
"Sysselsatte personer";"1145 Bokn";"1135 Sauda";0;0;0;0;0;0;0;0;0;1;1;0;1;2;2;1;1;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1145 Bokn";256;235;222;211;200;199;213;208;212;205;200;206;208;213;223;217;216;217;204;229;223
"Sysselsatte personer";"1145 Bokn";"1146 Tysvær";23;26;22;24;30;27;27;26;27;25;27;30;35;33;30;30;33;28;24;36;33
"Sysselsatte personer";"1145 Bokn";"1149 Karmøy";14;18;18;19;9;8;8;13;11;12;18;19;30;30;32;26;18;23;28;32;31
"Sysselsatte personer";"1145 Bokn";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1154 Vindafjord (1965-2005)";3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1159 Ølen (2002-2005)";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1160 Vindafjord";0;0;0;0;0;3;3;3;2;1;1;0;0;0;0;1;1;1;2;1;1
"Sysselsatte personer";"1145 Bokn";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"1145 Bokn";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1211 Etne (-2019)";0;0;0;0;0;0;1;0;0;1;1;0;0;2;2;1;1;1;1;1;0
"Sysselsatte personer";"1145 Bokn";"1216 Sveio (-2019)";3;4;5;6;4;5;5;5;6;6;7;3;5;4;4;3;3;3;0;1;0
"Sysselsatte personer";"1145 Bokn";"1219 Bømlo (1916-2019)";0;0;0;0;0;0;0;1;1;1;1;2;2;1;1;1;1;2;1;0;0
"Sysselsatte personer";"1145 Bokn";"1221 Stord (-2019)";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1224 Kvinnherad (-2019)";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1145 Bokn";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1146 Tysvær";"1106 Haugesund";593;595;637;646;671;720;755;777;803;811;874;872;894;883;892;865;867;948;954;991;1029
"Sysselsatte personer";"1146 Tysvær";"1135 Sauda";2;3;2;4;10;7;4;5;7;3;2;1;1;2;3;1;1;2;2;3;2
"Sysselsatte personer";"1146 Tysvær";"1145 Bokn";38;44;49;50;57;50;48;59;49;47;50;48;48;47;46;40;38;40;46;43;41
"Sysselsatte personer";"1146 Tysvær";"1146 Tysvær";2165;2138;2107;2182;2182;2115;2193;2274;2325;2342;2324;2525;2394;2333;2381;2333;2306;2306;2309;2316;2270
"Sysselsatte personer";"1146 Tysvær";"1149 Karmøy";351;348;356;344;373;391;429;516;488;516;504;524;569;555;574;572;599;650;651;679;712
"Sysselsatte personer";"1146 Tysvær";"1151 Utsira";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2
"Sysselsatte personer";"1146 Tysvær";"1154 Vindafjord (1965-2005)";97;98;96;92;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1146 Tysvær";"1159 Ølen (2002-2005)";41;29;39;41;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1146 Tysvær";"1160 Vindafjord";0;0;0;0;0;130;149;146;128;139;141;154;169;157;153;147;141;160;215;220;238
"Sysselsatte personer";"1146 Tysvær";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
"Sysselsatte personer";"1146 Tysvær";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145
"Sysselsatte personer";"1146 Tysvær";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"Sysselsatte personer";"1146 Tysvær";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
