"03321: Sysselsatte (15-74 år) per 4. kvartal. Pendlingsstrømmer, etter statistikkvariabel, arbeidsstedskommune, bostedskommune og år"

"statistikkvariabel";"arbeidsstedskommune";"bostedskommune";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1211 Etne (-2019)";59;66;56;51;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1216 Sveio (-2019)";9;10;12;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1219 Bømlo (1916-2019)";2;2;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1221 Stord (-2019)";1;0;1;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1222 Fitjar (-2019)";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1224 Kvinnherad (-2019)";0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1231 Ullensvang (1977-2019)";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1106 Haugesund";60;65;58;53;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1135 Sauda";2;2;2;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1145 Bokn";1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1146 Tysvær";32;42;32;30;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1149 Karmøy";27;26;38;37;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1154 Vindafjord (1965-2005)";232;221;244;267;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1159 Ølen (2002-2005)";1068;1010;1030;1116;1119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1211 Etne (-2019)";196;198;205;207;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1216 Sveio (-2019)";13;16;19;16;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1219 Bømlo (1916-2019)";3;6;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1221 Stord (-2019)";11;15;13;13;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1222 Fitjar (-2019)";4;3;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1223 Tysnes (-2019)";0;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1224 Kvinnherad (-2019)";14;13;9;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1228 Odda (1913-2019)";2;0;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1159 Ølen (2002-2005)";"1231 Ullensvang (1977-2019)";3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1160 Vindafjord";"1106 Haugesund";0;0;0;0;0;149;156;173;217;215;220;224;224;235;265;274;255;253;252;251;264
"Sysselsatte personer";"1160 Vindafjord";"1135 Sauda";0;0;0;0;0;23;25;22;11;7;10;9;12;19;19;23;21;23;26;23;27
"Sysselsatte personer";"1160 Vindafjord";"1145 Bokn";0;0;0;0;0;6;5;3;12;14;18;18;20;9;12;14;15;16;18;21;16
"Sysselsatte personer";"1160 Vindafjord";"1146 Tysvær";0;0;0;0;0;117;135;139;212;210;225;244;242;230;241;253;266;265;243;250;267
"Sysselsatte personer";"1160 Vindafjord";"1149 Karmøy";0;0;0;0;0;74;89;102;179;191;202;215;193;185;199;187;172;184;194;214;218
"Sysselsatte personer";"1160 Vindafjord";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Sysselsatte personer";"1160 Vindafjord";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1160 Vindafjord";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1160 Vindafjord";"1160 Vindafjord";0;0;0;0;0;3120;3167;2970;3194;3182;3241;3331;3335;3412;3478;3452;3409;3407;3333;3295;3231
"Sysselsatte personer";"1160 Vindafjord";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389
"Sysselsatte personer";"1160 Vindafjord";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
"Sysselsatte personer";"1160 Vindafjord";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"Sysselsatte personer";"1160 Vindafjord";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
"Sysselsatte personer";"1160 Vindafjord";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"Sysselsatte personer";"1160 Vindafjord";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"1160 Vindafjord";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
"Sysselsatte personer";"1160 Vindafjord";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Sysselsatte personer";"1160 Vindafjord";"1211 Etne (-2019)";0;0;0;0;0;275;280;304;343;344;338;353;391;384;408;372;366;372;371;381;0
"Sysselsatte personer";"1160 Vindafjord";"1216 Sveio (-2019)";0;0;0;0;0;33;32;33;37;38;41;51;59;77;82;84;80;85;59;59;0
"Sysselsatte personer";"1160 Vindafjord";"1219 Bømlo (1916-2019)";0;0;0;0;0;8;10;5;6;12;15;17;21;14;14;9;5;5;7;13;0
"Sysselsatte personer";"1160 Vindafjord";"1221 Stord (-2019)";0;0;0;0;0;20;5;13;12;18;20;33;26;25;22;16;21;23;22;29;0
"Sysselsatte personer";"1160 Vindafjord";"1222 Fitjar (-2019)";0;0;0;0;0;3;3;3;3;3;6;5;6;4;1;3;3;5;5;5;0
"Sysselsatte personer";"1160 Vindafjord";"1223 Tysnes (-2019)";0;0;0;0;0;3;2;1;2;3;1;1;0;0;0;0;0;0;0;1;0
"Sysselsatte personer";"1160 Vindafjord";"1224 Kvinnherad (-2019)";0;0;0;0;0;16;15;12;12;9;10;17;19;24;19;16;18;23;18;23;0
"Sysselsatte personer";"1160 Vindafjord";"1228 Odda (1913-2019)";0;0;0;0;0;3;5;6;9;9;10;9;11;11;9;7;5;6;9;7;0
"Sysselsatte personer";"1160 Vindafjord";"1231 Ullensvang (1977-2019)";0;0;0;0;0;2;1;2;2;3;0;1;1;2;1;0;2;1;1;1;0
"Sysselsatte personer";"4611 Etne";"1106 Haugesund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"Sysselsatte personer";"4611 Etne";"1135 Sauda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"Sysselsatte personer";"4611 Etne";"1145 Bokn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1146 Tysvær";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"Sysselsatte personer";"4611 Etne";"1149 Karmøy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Sysselsatte personer";"4611 Etne";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166
"Sysselsatte personer";"4611 Etne";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1306
"Sysselsatte personer";"4611 Etne";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"Sysselsatte personer";"4611 Etne";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4611 Etne";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"Sysselsatte personer";"4611 Etne";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4611 Etne";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
"Sysselsatte personer";"4611 Etne";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"Sysselsatte personer";"4611 Etne";"1211 Etne (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1216 Sveio (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1219 Bømlo (1916-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1221 Stord (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1224 Kvinnherad (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4611 Etne";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1106 Haugesund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203
"Sysselsatte personer";"4612 Sveio";"1135 Sauda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4612 Sveio";"1145 Bokn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4612 Sveio";"1146 Tysvær";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
"Sysselsatte personer";"4612 Sveio";"1149 Karmøy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
"Sysselsatte personer";"4612 Sveio";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
"Sysselsatte personer";"4612 Sveio";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4612 Sveio";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1055
"Sysselsatte personer";"4612 Sveio";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
"Sysselsatte personer";"4612 Sveio";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52
"Sysselsatte personer";"4612 Sveio";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"Sysselsatte personer";"4612 Sveio";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"Sysselsatte personer";"4612 Sveio";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1211 Etne (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1216 Sveio (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1219 Bømlo (1916-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1221 Stord (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1224 Kvinnherad (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4612 Sveio";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1106 Haugesund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
"Sysselsatte personer";"4613 Bømlo";"1135 Sauda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1145 Bokn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1146 Tysvær";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Sysselsatte personer";"4613 Bømlo";"1149 Karmøy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
"Sysselsatte personer";"4613 Bømlo";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"Sysselsatte personer";"4613 Bømlo";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
"Sysselsatte personer";"4613 Bømlo";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4277
"Sysselsatte personer";"4613 Bømlo";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280
"Sysselsatte personer";"4613 Bømlo";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"Sysselsatte personer";"4613 Bømlo";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"Sysselsatte personer";"4613 Bømlo";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
"Sysselsatte personer";"4613 Bømlo";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4613 Bømlo";"1211 Etne (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1216 Sveio (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1219 Bømlo (1916-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1221 Stord (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1224 Kvinnherad (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4613 Bømlo";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1106 Haugesund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108
"Sysselsatte personer";"4614 Stord";"1135 Sauda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4614 Stord";"1145 Bokn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"Sysselsatte personer";"4614 Stord";"1146 Tysvær";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
"Sysselsatte personer";"4614 Stord";"1149 Karmøy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
"Sysselsatte personer";"4614 Stord";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"Sysselsatte personer";"4614 Stord";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"Sysselsatte personer";"4614 Stord";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137
"Sysselsatte personer";"4614 Stord";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;623
"Sysselsatte personer";"4614 Stord";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7314
"Sysselsatte personer";"4614 Stord";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472
"Sysselsatte personer";"4614 Stord";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66
"Sysselsatte personer";"4614 Stord";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178
"Sysselsatte personer";"4614 Stord";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"Sysselsatte personer";"4614 Stord";"1211 Etne (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1216 Sveio (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1219 Bømlo (1916-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1221 Stord (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1224 Kvinnherad (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4614 Stord";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1106 Haugesund";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sysselsatte personer";"4615 Fitjar";"1135 Sauda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1145 Bokn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1146 Tysvær";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1149 Karmøy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"4615 Fitjar";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"Sysselsatte personer";"4615 Fitjar";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
"Sysselsatte personer";"4615 Fitjar";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169
"Sysselsatte personer";"4615 Fitjar";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819
"Sysselsatte personer";"4615 Fitjar";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"Sysselsatte personer";"4615 Fitjar";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
