Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1151,0,15-74,Sysselsatte,2019,107,9,6,0,3,6,6,20,3,0,0,0,6,6,15,18,6,3
1151,0,15-74,Sysselsatte,2020,102,9,6,0,0,6,12,24,0,0,0,0,3,3,11,25,3,0
1151,0,55-66,Sysselsatte,2008,22,0,0,0,0,3,0,4,3,0,0,0,0,4,3,5,0,0
1151,0,55-66,Sysselsatte,2009,32,0,0,0,0,3,0,3,0,0,0,3,3,3,7,7,3,0
1151,0,55-66,Sysselsatte,2010,26,0,0,0,0,3,0,3,3,0,0,3,0,3,4,4,3,0
1151,0,55-66,Sysselsatte,2011,29,3,0,0,0,0,0,3,0,0,0,3,3,3,7,4,3,0
1151,0,55-66,Sysselsatte,2012,26,0,0,0,0,3,3,3,0,0,0,3,0,3,6,5,0,0
1151,0,55-66,Sysselsatte,2013,20,0,0,0,0,4,0,3,0,0,0,3,0,0,4,3,3,0
1151,0,55-66,Sysselsatte,2014,24,3,0,0,0,5,0,0,0,0,0,3,0,3,4,3,3,0
1151,0,55-66,Sysselsatte,2015,24,4,0,0,0,3,0,3,0,0,0,0,3,3,5,3,0,0
1151,0,55-66,Sysselsatte,2016,22,0,0,0,0,3,0,3,0,0,0,0,0,3,7,3,0,3
1151,0,55-66,Sysselsatte,2017,37,0,3,0,0,3,3,3,0,0,0,0,3,3,8,8,0,3
1151,0,55-66,Sysselsatte,2018,23,3,3,0,0,0,0,3,0,0,0,0,0,3,5,6,0,0
1151,0,55-66,Sysselsatte,2019,29,3,3,0,3,0,0,0,0,0,0,0,3,3,5,6,0,3
1151,0,55-66,Sysselsatte,2020,31,3,3,0,0,3,3,6,0,0,0,0,0,3,5,5,0,0
1151,0,67-74,Sysselsatte,2008,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1151,0,67-74,Sysselsatte,2009,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,0,67-74,Sysselsatte,2011,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1151,0,67-74,Sysselsatte,2013,9,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0
1151,0,67-74,Sysselsatte,2014,9,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0
1151,0,67-74,Sysselsatte,2015,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
1151,0,67-74,Sysselsatte,2016,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0
1151,0,67-74,Sysselsatte,2017,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0
1151,0,67-74,Sysselsatte,2018,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
1151,0,67-74,Sysselsatte,2019,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0
1151,0,67-74,Sysselsatte,2020,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,0,15-74,Sysselsatte,2008,4415,523,174,660,54,423,580,222,102,108,28,127,206,176,327,610,74,21
1160,0,15-74,Sysselsatte,2009,4390,516,177,664,60,431,540,207,127,103,23,124,197,176,311,638,78,18
1160,0,15-74,Sysselsatte,2010,4404,494,208,692,74,420,523,203,132,101,26,122,199,171,314,619,79,27
1160,0,15-74,Sysselsatte,2011,4559,507,204,724,72,435,545,192,141,119,24,120,250,187,310,637,73,19
1160,0,15-74,Sysselsatte,2012,4582,447,219,741,73,412,568,187,110,135,28,131,262,188,319,671,75,16
1160,0,15-74,Sysselsatte,2013,4627,448,207,765,84,435,542,184,87,134,26,143,268,197,327,685,78,17
1160,0,15-74,Sysselsatte,2014,4723,429,202,794,59,461,547,202,92,103,29,174,282,194,317,731,85,22
1160,0,15-74,Sysselsatte,2015,4622,458,193,862,62,457,520,228,50,91,21,144,190,175,313,718,95,45
1160,0,15-74,Sysselsatte,2016,4565,465,179,821,68,465,508,214,50,94,21,142,196,181,311,714,92,44
1160,0,15-74,Sysselsatte,2017,4605,476,185,787,73,508,516,202,55,76,21,156,195,175,312,733,95,40
1160,0,15-74,Sysselsatte,2018,4649,456,200,760,63,548,525,207,51,81,22,163,201,190,313,744,87,38
1160,0,15-74,Sysselsatte,2019,4641,421,213,779,65,527,516,206,53,103,22,187,192,194,319,730,79,35
1160,0,15-74,Sysselsatte,2020,4583,440,224,707,65,568,498,193,64,98,22,170,165,177,327,753,81,31
1160,0,55-66,Sysselsatte,2008,790,128,17,98,10,77,73,60,10,3,9,19,30,56,86,92,15,7
1160,0,55-66,Sysselsatte,2009,777,109,20,97,11,85,70,60,10,6,5,21,23,54,81,106,13,6
1160,0,55-66,Sysselsatte,2010,827,111,30,106,15,85,75,64,16,8,9,20,30,50,79,104,17,8
1160,0,55-66,Sysselsatte,2011,859,110,33,120,14,88,83,58,15,13,10,20,31,51,73,120,16,4
1160,0,55-66,Sysselsatte,2012,854,87,35,125,15,87,86,55,16,11,10,22,33,49,75,126,19,3
1160,0,55-66,Sysselsatte,2013,885,84,35,128,16,93,90,51,16,13,12,27,36,50,75,131,22,6
1160,0,55-66,Sysselsatte,2014,904,79,31,139,16,92,88,54,17,14,8,28,47,47,70,144,24,6
1160,0,55-66,Sysselsatte,2015,930,89,34,157,18,96,94,49,12,10,7,31,42,43,65,146,24,13
1160,0,55-66,Sysselsatte,2016,940,88,36,167,19,102,98,43,11,15,7,28,44,38,64,143,25,12
1160,0,55-66,Sysselsatte,2017,940,82,36,160,21,103,93,45,11,13,5,33,46,35,65,158,24,10
1160,0,55-66,Sysselsatte,2018,967,92,42,164,18,106,99,51,9,10,6,39,49,38,66,151,23,4
1160,0,55-66,Sysselsatte,2019,975,84,43,163,21,101,96,47,8,15,3,43,46,46,71,154,24,10
1160,0,55-66,Sysselsatte,2020,1000,90,50,152,20,96,96,47,11,19,6,47,47,43,77,164,22,13
1160,0,67-74,Sysselsatte,2008,112,45,0,7,0,9,10,8,0,0,0,9,3,3,6,6,3,3
1160,0,67-74,Sysselsatte,2009,129,54,0,11,3,9,10,10,3,0,0,4,0,3,4,15,3,0
1160,0,67-74,Sysselsatte,2010,114,46,0,13,0,7,8,8,3,0,0,7,0,0,3,13,3,3
1160,0,67-74,Sysselsatte,2011,126,50,0,9,0,10,9,12,3,3,0,3,3,7,3,11,3,0
1160,0,67-74,Sysselsatte,2012,134,60,0,6,0,10,13,15,0,3,0,6,3,3,3,9,3,0
1160,0,67-74,Sysselsatte,2013,157,61,0,10,0,10,13,19,0,0,0,8,7,6,3,16,4,0
1160,0,67-74,Sysselsatte,2014,162,54,0,11,0,12,9,21,3,0,3,9,3,7,3,18,6,3
1160,0,67-74,Sysselsatte,2015,145,49,0,13,0,9,9,19,0,0,0,3,3,3,4,20,3,10
1160,0,67-74,Sysselsatte,2016,167,54,0,15,3,14,4,19,0,0,0,10,3,5,5,21,4,10
1160,0,67-74,Sysselsatte,2017,187,58,0,13,3,20,12,21,0,0,0,9,6,7,5,19,3,11
1160,0,67-74,Sysselsatte,2018,183,54,0,10,3,21,11,20,0,0,0,10,3,9,3,19,4,16
1160,0,67-74,Sysselsatte,2019,176,49,0,17,0,27,13,11,0,3,0,9,5,7,6,11,3,15
1160,0,67-74,Sysselsatte,2020,174,52,0,10,3,34,12,13,0,0,0,6,8,7,3,10,6,10
4611,0,15-74,Sysselsatte,2020,2061,174,86,251,45,300,201,85,50,48,19,77,70,65,141,400,34,15
4611,0,55-66,Sysselsatte,2020,429,42,15,56,9,53,38,16,9,9,6,19,13,16,30,87,5,6
4611,0,67-74,Sysselsatte,2020,78,16,3,10,0,23,0,11,3,0,0,0,0,0,3,9,0,0
4612,0,15-74,Sysselsatte,2020,2784,157,162,258,48,312,320,185,64,41,6,92,98,78,229,634,84,16
4612,0,55-66,Sysselsatte,2020,511,34,39,45,7,46,59,41,7,10,3,19,13,14,43,110,18,3
4612,0,67-74,Sysselsatte,2020,95,21,0,0,3,16,4,10,0,0,0,9,0,0,4,17,6,5
4613,0,15-74,Sysselsatte,2020,5848,379,309,1193,58,476,499,390,105,40,24,166,266,197,474,1091,156,25
4613,0,55-66,Sysselsatte,2020,1108,64,60,237,16,66,62,107,6,6,7,33,54,35,101,216,29,9
4613,0,67-74,Sysselsatte,2020,159,33,0,22,0,11,8,18,3,0,0,13,6,3,4,26,6,6
4614,0,15-74,Sysselsatte,2020,9315,136,225,1897,189,700,950,333,323,167,39,484,370,354,823,2071,220,34
4614,0,55-66,Sysselsatte,2020,1801,19,49,495,41,91,122,74,26,46,13,91,45,72,180,370,52,15
4614,0,67-74,Sysselsatte,2020,204,15,0,16,4,12,7,17,3,5,0,39,6,7,12,40,17,4
4615,0,15-74,Sysselsatte,2020,1564,108,57,272,36,173,146,67,37,15,6,90,49,47,95,327,24,15
4615,0,55-66,Sysselsatte,2020,329,14,12,71,5,30,20,11,7,3,3,28,9,12,22,76,3,3
4615,0,67-74,Sysselsatte,2020,61,9,3,6,5,7,6,0,0,0,0,5,3,0,3,8,0,6
4616,0,15-74,Sysselsatte,2020,1371,156,81,111,27,134,128,101,12,12,14,44,52,65,96,299,33,6
4616,0,55-66,Sysselsatte,2020,308,39,15,27,3,24,26,23,0,6,3,13,13,14,28,63,11,0
4616,0,67-74,Sysselsatte,2020,83,23,0,0,3,8,4,10,3,0,0,4,6,0,6,13,0,3
4617,0,15-74,Sysselsatte,2020,6426,385,229,1068,102,604,590,281,124,68,28,203,193,231,492,1631,147,50
4617,0,55-66,Sysselsatte,2020,1358,80,53,251,32,101,91,61,16,7,11,51,43,50,108,344,39,20
4617,0,67-74,Sysselsatte,2020,243,45,0,22,0,26,11,14,0,6,3,22,4,3,8,46,16,17
4618,0,15-74,Sysselsatte,2020,5503,247,172,954,155,617,520,206,182,48,15,256,126,207,405,1233,128,32
4618,0,55-66,Sysselsatte,2020,1319,69,31,238,52,115,97,63,13,11,7,60,34,64,97,323,30,15
4618,0,67-74,Sysselsatte,2020,226,48,0,17,0,33,14,20,6,3,0,21,0,3,11,39,6,5
4611,0,15-74,Sysselsatte,2008,2150,223,70,285,52,267,246,95,61,31,26,65,111,65,156,346,34,17
4611,0,15-74,Sysselsatte,2009,2115,198,68,292,53,271,237,83,56,33,28,61,103,60,153,370,33,16
4611,0,15-74,Sysselsatte,2010,2060,203,71,263,61,275,240,75,55,32,26,63,89,57,152,349,30,19
4611,0,15-74,Sysselsatte,2011,2154,214,72,271,59,282,239,77,62,40,29,67,95,61,153,377,40,16
4611,0,15-74,Sysselsatte,2012,2172,183,90,286,61,273,253,75,54,39,21,69,115,67,167,372,34,13
4611,0,15-74,Sysselsatte,2013,2156,161,95,289,58,283,223,72,60,38,20,81,100,78,163,380,41,14
4611,0,15-74,Sysselsatte,2014,2197,165,99,284,55,295,228,74,66,35,25,82,94,76,174,390,41,14
4611,0,15-74,Sysselsatte,2015,2088,159,86,263,51,292,210,82,54,35,18,77,83,75,158,383,45,17
4611,0,15-74,Sysselsatte,2016,2070,165,80,273,48,289,216,75,61,34,20,68,70,74,159,375,40,23
4611,0,15-74,Sysselsatte,2017,2046,166,78,257,45,310,228,75,55,35,20,75,57,68,141,376,40,20
4611,0,15-74,Sysselsatte,2018,2051,170,83,264,44,323,214,71,53,39,18,77,62,63,140,379,33,18
4611,0,15-74,Sysselsatte,2019,2086,180,87,268,47,306,223,77,43,44,18,84,60,70,135,391,36,17
4611,0,55-66,Sysselsatte,2008,385,46,8,48,8,45,33,21,3,3,8,6,12,21,43,71,6,3
4611,0,55-66,Sysselsatte,2009,391,47,8,54,8,42,26,19,3,0,7,11,12,20,45,78,7,4
4611,0,55-66,Sysselsatte,2010,408,54,12,45,13,46,29,14,3,0,10,11,16,21,49,72,8,5
4611,0,55-66,Sysselsatte,2011,427,46,12,55,13,44,27,15,7,3,10,16,10,21,50,81,10,7
4611,0,55-66,Sysselsatte,2012,439,40,15,57,11,47,31,19,4,6,10,16,13,24,53,83,6,4
4611,0,55-66,Sysselsatte,2013,439,35,21,53,12,49,24,18,10,6,8,17,12,24,53,79,10,8
4611,0,55-66,Sysselsatte,2014,439,35,22,57,10,48,27,13,8,6,8,15,15,22,54,84,7,8
4611,0,55-66,Sysselsatte,2015,435,39,18,59,4,48,28,15,7,7,8,17,13,23,51,83,9,6
4611,0,55-66,Sysselsatte,2016,438,39,16,61,8,53,28,14,7,3,8,16,10,22,50,84,13,6
4611,0,55-66,Sysselsatte,2017,428,36,20,59,9,55,33,16,4,5,8,17,9,21,40,78,11,7
4611,0,55-66,Sysselsatte,2018,416,40,19,65,8,60,33,16,4,4,5,17,10,17,32,75,5,6
4611,0,55-66,Sysselsatte,2019,434,40,18,63,9,55,35,16,6,8,5,17,12,20,29,88,5,8
4611,0,67-74,Sysselsatte,2008,70,23,3,3,3,7,3,3,3,0,0,7,0,0,3,12,0,0
4611,0,67-74,Sysselsatte,2009,81,22,0,3,3,9,8,5,0,3,3,5,0,0,3,14,0,3
4611,0,67-74,Sysselsatte,2010,79,18,0,3,3,9,8,7,3,3,0,4,0,3,0,15,0,3
4611,0,67-74,Sysselsatte,2011,71,24,0,3,3,7,3,9,0,3,0,3,0,3,0,13,0,0
4611,0,67-74,Sysselsatte,2012,86,30,0,6,3,10,3,5,3,0,0,3,3,0,3,14,0,3
4611,0,67-74,Sysselsatte,2013,73,29,0,4,3,8,0,8,0,0,0,0,3,0,6,9,0,3
4611,0,67-74,Sysselsatte,2014,97,34,3,5,3,11,3,12,3,0,0,3,3,0,9,5,3,0
4611,0,67-74,Sysselsatte,2015,79,21,3,4,3,12,3,11,0,0,0,3,3,0,3,9,0,4
4611,0,67-74,Sysselsatte,2016,68,21,0,3,3,14,0,8,0,0,0,0,0,0,7,5,0,7
4611,0,67-74,Sysselsatte,2017,78,22,0,4,0,16,3,8,0,0,0,3,0,3,5,8,3,3
4611,0,67-74,Sysselsatte,2018,67,14,0,4,0,15,0,5,3,0,0,3,0,3,6,8,3,3
4611,0,67-74,Sysselsatte,2019,90,16,3,8,0,18,3,13,0,0,0,4,3,5,3,11,3,0
4612,0,15-74,Sysselsatte,2008,2595,172,106,312,31,267,314,190,66,43,22,78,80,77,197,547,78,15
4612,0,15-74,Sysselsatte,2009,2586,191,106,295,28,277,285,203,75,46,14,86,72,81,195,548,78,6
4612,0,15-74,Sysselsatte,2010,2603,164,117,286,32,278,313,191,50,50,13,113,63,99,195,541,77,21
4612,0,15-74,Sysselsatte,2011,2663,157,125,297,32,296,314,185,56,45,11,100,100,89,198,560,79,19
4612,0,15-74,Sysselsatte,2012,2760,177,143,316,33,268,328,182,53,54,13,93,106,98,208,592,79,17
4612,0,15-74,Sysselsatte,2013,2794,169,146,324,41,294,331,187,58,53,10,98,85,100,211,590,76,21
4612,0,15-74,Sysselsatte,2014,2768,137,153,323,42,300,328,207,54,47,13,100,88,91,218,572,79,16
4612,0,15-74,Sysselsatte,2015,2737,184,150,300,38,287,316,199,45,40,9,105,79,83,215,578,81,28
4612,0,15-74,Sysselsatte,2016,2761,176,135,279,38,285,326,201,59,28,9,112,85,87,217,611,82,31
4612,0,15-74,Sysselsatte,2017,2806,170,141,282,43,299,332,196,65,34,9,107,89,95,227,611,87,19
4612,0,15-74,Sysselsatte,2018,2785,159,164,262,43,325,325,182,62,33,6,101,100,74,232,606,87,24
4612,0,15-74,Sysselsatte,2019,2800,168,160,270,40,319,328,180,67,41,3,91,100,79,220,623,83,28
4612,0,55-66,Sysselsatte,2008,506,57,9,49,6,35,50,42,7,8,9,16,13,23,53,115,11,3
4612,0,55-66,Sysselsatte,2009,537,58,13,53,6,46,53,41,11,7,7,15,16,25,51,120,12,3
4612,0,55-66,Sysselsatte,2010,553,48,14,58,8,46,54,41,11,9,6,21,18,28,49,126,12,4
4612,0,55-66,Sysselsatte,2011,556,41,14,60,7,46,51,45,9,9,8,19,16,28,48,134,18,3
4612,0,55-66,Sysselsatte,2012,593,45,18,60,9,47,51,43,11,14,7,18,19,28,60,144,16,3
4612,0,55-66,Sysselsatte,2013,581,38,26,57,6,54,53,42,9,11,7,22,12,28,53,142,15,6
4612,0,55-66,Sysselsatte,2014,573,33,27,56,6,54,57,45,5,15,7,21,14,23,51,136,19,4
4612,0,55-66,Sysselsatte,2015,556,39,31,45,8,50,57,39,7,5,6,27,10,23,50,137,15,7
4612,0,55-66,Sysselsatte,2016,570,35,30,42,6,46,55,48,4,5,6,30,18,23,53,144,18,7
4612,0,55-66,Sysselsatte,2017,550,34,28,36,10,50,59,49,6,9,6,29,14,20,49,127,21,3
4612,0,55-66,Sysselsatte,2018,531,33,33,40,11,53,59,46,3,7,3,24,15,15,51,112,23,3
4612,0,55-66,Sysselsatte,2019,512,27,35,45,8,53,53,46,7,8,0,18,19,15,45,111,17,5
4612,0,67-74,Sysselsatte,2008,56,15,0,4,0,6,7,4,0,0,3,3,0,0,3,5,3,3
4612,0,67-74,Sysselsatte,2009,51,19,0,3,0,4,3,3,0,0,0,3,0,3,3,7,3,0
4612,0,67-74,Sysselsatte,2010,55,17,0,0,0,5,7,6,3,0,0,3,0,0,0,8,3,3
4612,0,67-74,Sysselsatte,2011,59,18,0,6,0,5,6,6,0,3,0,3,0,0,0,6,3,3
4612,0,67-74,Sysselsatte,2012,61,22,0,4,3,3,10,7,0,0,0,0,0,0,0,6,3,3
4612,0,67-74,Sysselsatte,2013,86,23,0,7,0,5,6,9,3,3,0,3,0,3,3,15,3,3
4612,0,67-74,Sysselsatte,2014,75,20,0,7,0,8,6,11,0,0,0,4,0,3,3,7,3,3
4612,0,67-74,Sysselsatte,2015,77,19,0,5,0,6,6,8,0,3,0,6,0,0,3,15,3,3
4612,0,67-74,Sysselsatte,2016,97,27,3,3,3,8,9,9,3,0,0,6,0,3,3,13,3,4
4612,0,67-74,Sysselsatte,2017,94,27,0,6,0,7,10,9,3,0,0,5,0,3,0,18,3,3
4612,0,67-74,Sysselsatte,2018,86,25,0,0,0,7,10,8,3,0,0,10,0,0,3,17,0,3
4612,0,67-74,Sysselsatte,2019,104,28,0,3,3,10,8,8,0,0,0,10,0,0,3,21,4,6
4613,0,15-74,Sysselsatte,2008,5700,320,237,1439,53,377,562,590,107,39,30,159,142,131,397,922,162,33
4613,0,15-74,Sysselsatte,2009,5737,316,253,1414,55,384,530,583,93,40,33,161,136,143,396,1026,148,26
4613,0,15-74,Sysselsatte,2010,5760,320,267,1337,55,388,527,567,75,46,37,168,157,142,436,1074,137,27
4613,0,15-74,Sysselsatte,2011,5796,309,270,1308,60,415,551,459,78,39,32,165,244,156,440,1108,129,33
4613,0,15-74,Sysselsatte,2012,5886,321,298,1347,56,412,543,456,74,42,33,176,259,162,442,1109,126,30
4613,0,15-74,Sysselsatte,2013,5907,312,334,1338,58,433,529,457,81,37,35,178,257,163,438,1107,128,22
4613,0,15-74,Sysselsatte,2014,5934,316,331,1329,67,436,526,437,92,42,33,168,248,169,451,1131,142,16
4613,0,15-74,Sysselsatte,2015,5731,332,293,1256,66,435,491,412,82,42,29,161,222,164,472,1086,143,45
4613,0,15-74,Sysselsatte,2016,5570,346,263,1152,65,442,495,406,84,40,22,155,202,168,475,1074,154,27
4613,0,15-74,Sysselsatte,2017,5719,364,265,1155,64,479,498,410,85,38,25,137,245,189,475,1089,165,36
4613,0,15-74,Sysselsatte,2018,5839,371,282,1185,59,514,534,407,95,51,27,136,253,190,459,1094,154,28
4613,0,15-74,Sysselsatte,2019,5929,365,306,1244,68,491,499,415,121,46,24,151,228,197,464,1116,163,31
4613,0,55-66,Sysselsatte,2008,1054,84,35,219,10,32,76,117,10,0,10,48,28,35,120,195,26,9
4613,0,55-66,Sysselsatte,2009,1087,82,37,220,15,39,79,121,11,3,12,48,29,33,118,206,26,8
4613,0,55-66,Sysselsatte,2010,1119,78,39,212,18,38,83,124,11,5,12,47,30,26,124,235,28,9
4613,0,55-66,Sysselsatte,2011,1122,73,39,215,18,51,83,100,13,6,13,47,46,25,120,235,28,10
4613,0,55-66,Sysselsatte,2012,1148,67,44,233,21,52,82,96,12,7,12,47,52,28,122,238,26,9
4613,0,55-66,Sysselsatte,2013,1151,62,49,235,22,52,83,95,14,9,12,47,48,29,116,236,30,12
4613,0,55-66,Sysselsatte,2014,1161,65,51,240,21,54,83,91,13,5,13,42,49,27,124,246,30,7
4613,0,55-66,Sysselsatte,2015,1127,65,41,237,20,62,72,93,11,6,12,46,42,21,124,234,26,15
4613,0,55-66,Sysselsatte,2016,1071,70,40,212,20,61,72,88,14,3,9,38,38,26,121,220,31,8
4613,0,55-66,Sysselsatte,2017,1107,64,43,221,19,72,69,90,14,3,11,29,47,35,120,228,34,8
4613,0,55-66,Sysselsatte,2018,1084,64,40,217,19,79,70,96,10,7,10,31,48,33,113,213,25,9
4613,0,55-66,Sysselsatte,2019,1109,59,45,228,20,72,73,108,7,6,10,33,52,32,113,217,26,8
4613,0,67-74,Sysselsatte,2008,101,24,0,11,0,9,12,9,0,3,0,4,4,0,6,11,4,4
4613,0,67-74,Sysselsatte,2009,110,26,0,10,0,5,11,13,0,0,3,10,7,0,3,13,6,3
4613,0,67-74,Sysselsatte,2010,116,29,0,14,0,11,10,13,0,0,3,5,7,3,3,12,3,3
4613,0,67-74,Sysselsatte,2011,124,23,3,10,0,6,13,16,0,0,3,4,6,6,4,23,3,4
4613,0,67-74,Sysselsatte,2012,128,32,3,11,0,4,15,10,0,0,0,7,5,3,4,23,3,8
4613,0,67-74,Sysselsatte,2013,145,35,0,15,0,4,9,19,3,0,3,10,6,4,3,27,3,4
4613,0,67-74,Sysselsatte,2014,137,30,0,13,0,8,9,17,3,0,3,6,9,0,7,17,12,3
4613,0,67-74,Sysselsatte,2015,150,27,3,13,0,4,9,14,4,0,3,5,7,0,3,34,14,10
4613,0,67-74,Sysselsatte,2016,144,34,3,13,0,3,10,19,3,0,0,6,3,0,8,29,6,7
4613,0,67-74,Sysselsatte,2017,151,34,0,15,0,6,9,19,4,0,0,5,3,3,5,26,11,11
4613,0,67-74,Sysselsatte,2018,166,33,3,23,0,5,13,20,3,0,0,8,8,3,3,27,10,7
4613,0,67-74,Sysselsatte,2019,169,39,0,24,0,10,4,24,6,0,0,11,4,0,6,26,9,6
4614,0,15-74,Sysselsatte,2008,9284,95,132,2247,128,569,1158,388,353,148,71,419,423,428,802,1685,213,25
4614,0,15-74,Sysselsatte,2009,9156,91,143,2143,141,587,1123,363,335,163,64,482,362,349,815,1779,188,28
4614,0,15-74,Sysselsatte,2010,8995,77,262,1938,150,539,1110,354,313,170,62,455,305,370,796,1860,201,33
4614,0,15-74,Sysselsatte,2011,9214,90,213,1995,158,596,1084,356,306,171,58,488,367,361,811,1932,202,26
4614,0,15-74,Sysselsatte,2012,9294,82,214,2092,168,611,1045,369,293,176,56,520,354,398,788,1909,194,25
4614,0,15-74,Sysselsatte,2013,9594,77,229,2247,155,594,1086,367,345,173,59,543,375,384,817,1909,204,30
4614,0,15-74,Sysselsatte,2014,9686,85,235,2304,150,611,1102,361,385,155,52,541,392,381,813,1885,197,37
4614,0,15-74,Sysselsatte,2015,9312,79,212,2131,148,640,1027,348,319,126,60,466,338,380,802,1944,208,84
4614,0,15-74,Sysselsatte,2016,9136,96,196,1857,156,649,1037,339,307,119,49,491,308,380,850,2036,194,72
4614,0,15-74,Sysselsatte,2017,9306,119,196,1866,152,688,1000,345,355,142,48,503,348,387,834,2055,211,57
4614,0,15-74,Sysselsatte,2018,9367,121,202,1889,147,703,996,353,334,125,44,523,379,395,818,2085,207,46
4614,0,15-74,Sysselsatte,2019,9461,124,223,1902,162,722,997,355,363,179,38,480,419,344,809,2066,224,54
4614,0,55-66,Sysselsatte,2008,1586,18,22,357,27,55,120,72,20,29,16,98,41,103,232,339,28,9
4614,0,55-66,Sysselsatte,2009,1582,20,20,359,34,63,114,72,22,30,19,122,41,76,227,326,30,7
4614,0,55-66,Sysselsatte,2010,1585,19,35,340,38,57,125,71,18,33,21,114,39,79,222,331,29,14
4614,0,55-66,Sysselsatte,2011,1653,19,34,351,41,65,110,74,16,37,17,127,51,80,230,346,41,14
4614,0,55-66,Sysselsatte,2012,1709,18,34,382,42,82,112,75,18,39,18,130,53,77,219,356,39,15
4614,0,55-66,Sysselsatte,2013,1725,14,42,407,36,79,111,83,21,39,17,130,41,80,228,347,38,12
4614,0,55-66,Sysselsatte,2014,1746,12,42,437,37,72,121,83,22,41,16,123,42,76,225,345,39,13
4614,0,55-66,Sysselsatte,2015,1708,17,37,413,35,79,111,79,22,33,19,100,43,73,220,364,38,25
4614,0,55-66,Sysselsatte,2016,1660,17,39,389,36,78,118,79,18,29,20,99,26,74,220,364,34,20
4614,0,55-66,Sysselsatte,2017,1724,15,38,417,36,91,120,84,26,32,17,100,47,73,208,368,36,16
4614,0,55-66,Sysselsatte,2018,1749,18,42,446,36,89,115,81,24,35,15,111,48,67,196,363,48,15
4614,0,55-66,Sysselsatte,2019,1802,18,48,480,37,90,118,80,25,52,15,102,55,69,182,367,51,13
4614,0,67-74,Sysselsatte,2008,136,13,0,11,3,7,13,9,4,0,0,16,3,4,19,31,3,0
4614,0,67-74,Sysselsatte,2009,157,12,0,20,0,6,15,8,3,3,0,17,6,3,14,41,3,6
4614,0,67-74,Sysselsatte,2010,156,8,3,8,3,5,11,13,6,3,0,16,4,3,16,45,6,6
4614,0,67-74,Sysselsatte,2011,179,6,3,10,3,10,13,11,4,3,0,16,6,6,17,57,11,3
4614,0,67-74,Sysselsatte,2012,179,13,0,17,0,5,16,12,3,4,3,18,9,8,16,48,7,0
4614,0,67-74,Sysselsatte,2013,199,14,0,23,0,7,17,10,6,6,0,23,9,12,14,42,10,6
4614,0,67-74,Sysselsatte,2014,202,15,3,22,0,8,14,13,3,5,0,24,6,11,18,37,14,9
4614,0,67-74,Sysselsatte,2015,180,10,0,19,0,4,13,11,3,3,0,21,5,14,10,34,8,25
4614,0,67-74,Sysselsatte,2016,202,11,0,15,0,6,11,7,7,3,0,27,4,17,16,50,8,20
4614,0,67-74,Sysselsatte,2017,205,13,0,16,3,9,12,13,3,5,0,26,5,10,13,49,11,17
4614,0,67-74,Sysselsatte,2018,210,11,0,14,3,8,15,16,3,5,0,29,9,10,11,52,10,14
4614,0,67-74,Sysselsatte,2019,222,10,0,19,3,11,15,15,4,7,0,31,10,8,18,47,12,12
4615,0,15-74,Sysselsatte,2008,1533,56,24,287,32,183,176,89,57,9,6,95,44,61,118,260,26,10
4615,0,15-74,Sysselsatte,2009,1518,70,31,287,29,171,168,82,44,12,6,96,40,56,118,280,21,7
4615,0,15-74,Sysselsatte,2010,1529,74,37,264,28,170,176,86,41,14,6,90,47,46,131,278,29,12
4615,0,15-74,Sysselsatte,2011,1544,76,37,263,28,174,169,86,45,11,9,94,45,56,123,282,32,14
4615,0,15-74,Sysselsatte,2012,1562,74,43,266,31,178,166,91,39,14,9,102,46,48,113,296,37,9
4615,0,15-74,Sysselsatte,2013,1600,71,55,276,32,168,173,91,42,14,9,117,52,46,119,295,34,6
4615,0,15-74,Sysselsatte,2014,1625,74,57,283,29,185,160,106,42,15,9,117,53,52,115,291,31,6
4615,0,15-74,Sysselsatte,2015,1575,82,53,288,26,198,153,98,32,12,6,99,32,49,117,277,35,18
4615,0,15-74,Sysselsatte,2016,1596,89,48,266,28,212,159,92,43,11,9,96,35,54,113,291,34,16
