Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1135,0,15-74,Sysselsatte,2019,2234,37,140,370,111,222,178,86,67,21,6,40,81,91,195,506,65,18
1135,0,15-74,Sysselsatte,2020,2212,40,138,365,114,218,170,94,40,19,3,41,79,94,205,513,61,18
1135,0,55-66,Sysselsatte,2008,444,13,10,108,23,27,23,23,0,3,6,11,16,20,51,94,12,4
1135,0,55-66,Sysselsatte,2009,442,14,12,105,26,28,24,23,3,3,3,10,7,24,49,96,12,3
1135,0,55-66,Sysselsatte,2010,468,13,12,112,26,22,30,23,4,3,6,14,11,22,49,100,15,6
1135,0,55-66,Sysselsatte,2011,483,6,14,115,28,28,29,27,7,3,3,15,7,24,56,103,13,5
1135,0,55-66,Sysselsatte,2012,484,9,16,119,33,26,32,28,3,0,3,11,6,23,59,100,11,5
1135,0,55-66,Sysselsatte,2013,508,6,20,117,35,31,37,30,6,0,0,12,11,27,52,104,12,8
1135,0,55-66,Sysselsatte,2014,531,6,24,120,40,35,32,30,3,0,3,17,10,28,60,108,11,4
1135,0,55-66,Sysselsatte,2015,522,4,25,120,34,37,35,24,4,3,0,12,11,26,58,107,15,7
1135,0,55-66,Sysselsatte,2016,520,8,27,117,36,40,31,27,3,0,0,8,11,25,57,107,15,8
1135,0,55-66,Sysselsatte,2017,519,3,31,114,37,41,29,29,3,0,0,9,11,26,57,111,14,4
1135,0,55-66,Sysselsatte,2018,504,7,29,111,37,38,30,27,4,0,0,7,14,21,56,104,15,4
1135,0,55-66,Sysselsatte,2019,513,6,30,108,40,42,33,24,7,3,0,5,14,20,50,110,15,6
1135,0,55-66,Sysselsatte,2020,514,8,32,110,44,50,29,28,3,3,0,5,8,21,47,106,14,6
1135,0,67-74,Sysselsatte,2008,42,3,0,3,0,3,4,5,0,0,0,0,7,0,0,17,0,0
1135,0,67-74,Sysselsatte,2009,50,3,0,3,0,3,3,4,0,0,0,3,7,0,8,13,3,0
1135,0,67-74,Sysselsatte,2010,40,3,0,0,0,3,3,3,0,0,0,0,0,3,6,13,3,3
