Naering,Kjonn,Alder,ContentsCode,Aar,Haugesund,Sauda,Bokn,Tysvaer,Karmoey,Utsira,Vindafjord
05-09,0,15-74,SysselsatteArb,2014,416,0,0,852,246,0,7
05-09,0,15-74,SysselsatteArb,2015,417,0,0,820,194,0,3
05-09,0,15-74,SysselsatteArb,2016,369,0,0,790,196,0,3
05-09,0,15-74,SysselsatteArb,2017,402,0,0,797,263,0,3
05-09,0,15-74,SysselsatteArb,2018,655,0,0,759,300,0,3
05-09,0,15-74,SysselsatteArb,2019,685,0,0,757,307,0,3
05-09,0,15-74,SysselsatteArb,2020,694,0,0,NA,291,0,NA
05-09,0,55-66,SysselsatteArb,2008,24,0,0,90,15,0,3
05-09,0,55-66,SysselsatteArb,2009,24,0,0,72,14,0,3
05-09,0,55-66,SysselsatteArb,2010,23,0,0,83,16,0,0
05-09,0,55-66,SysselsatteArb,2011,29,0,0,98,14,0,0
05-09,0,55-66,SysselsatteArb,2012,32,0,0,109,15,0,3
05-09,0,55-66,SysselsatteArb,2013,28,0,0,124,24,0,0
05-09,0,55-66,SysselsatteArb,2014,34,0,0,126,29,0,7
05-09,0,55-66,SysselsatteArb,2015,35,0,0,120,20,0,0
05-09,0,55-66,SysselsatteArb,2016,40,0,0,135,21,0,0
05-09,0,55-66,SysselsatteArb,2017,45,0,0,156,28,0,0
05-09,0,55-66,SysselsatteArb,2018,74,0,0,160,28,0,0
05-09,0,55-66,SysselsatteArb,2019,81,0,0,171,31,0,0
05-09,0,55-66,SysselsatteArb,2020,86,0,0,NA,29,0,NA
05-09,0,67-74,SysselsatteArb,2008,0,0,0,3,3,0,0
05-09,0,67-74,SysselsatteArb,2009,0,0,0,0,3,0,0
05-09,0,67-74,SysselsatteArb,2010,3,0,0,0,0,0,0
05-09,0,67-74,SysselsatteArb,2011,0,0,0,0,3,0,0
05-09,0,67-74,SysselsatteArb,2012,0,0,0,0,3,0,0
05-09,0,67-74,SysselsatteArb,2013,3,0,0,0,3,0,0
05-09,0,67-74,SysselsatteArb,2014,0,0,0,0,0,0,0
05-09,0,67-74,SysselsatteArb,2015,0,0,0,0,0,0,0
05-09,0,67-74,SysselsatteArb,2016,0,0,0,0,0,0,0
05-09,0,67-74,SysselsatteArb,2017,0,0,0,0,0,0,0
05-09,0,67-74,SysselsatteArb,2018,0,0,0,0,3,0,0
05-09,0,67-74,SysselsatteArb,2019,0,0,0,3,3,0,0
05-09,0,67-74,SysselsatteArb,2020,6,0,0,NA,3,0,NA
10-33,0,15-74,SysselsatteArb,2008,2572,468,41,268,3357,0,785
10-33,0,15-74,SysselsatteArb,2009,2570,429,40,270,2806,3,852
10-33,0,15-74,SysselsatteArb,2010,2486,414,31,252,2571,0,901
10-33,0,15-74,SysselsatteArb,2011,2600,395,31,252,2475,0,942
10-33,0,15-74,SysselsatteArb,2012,2766,394,51,257,2408,3,974
10-33,0,15-74,SysselsatteArb,2013,2805,401,54,241,2367,0,1009
10-33,0,15-74,SysselsatteArb,2014,2682,408,54,220,2353,0,1050
10-33,0,15-74,SysselsatteArb,2015,2371,383,36,320,2302,0,1098
10-33,0,15-74,SysselsatteArb,2016,2196,345,43,390,2313,0,1035
10-33,0,15-74,SysselsatteArb,2017,2110,345,37,476,2426,0,985
10-33,0,15-74,SysselsatteArb,2018,2128,342,43,628,2419,0,828
10-33,0,15-74,SysselsatteArb,2019,2171,360,52,617,2476,0,887
10-33,0,15-74,SysselsatteArb,2020,2220,367,63,631,2470,0,887
10-33,0,55-66,SysselsatteArb,2008,406,101,9,30,553,0,111
10-33,0,55-66,SysselsatteArb,2009,400,101,8,34,522,0,113
10-33,0,55-66,SysselsatteArb,2010,392,109,7,33,486,0,116
10-33,0,55-66,SysselsatteArb,2011,392,111,4,36,482,0,134
10-33,0,55-66,SysselsatteArb,2012,383,113,7,42,494,0,142
10-33,0,55-66,SysselsatteArb,2013,390,113,8,45,468,0,148
10-33,0,55-66,SysselsatteArb,2014,395,114,8,38,441,0,163
10-33,0,55-66,SysselsatteArb,2015,355,112,5,40,431,0,177
10-33,0,55-66,SysselsatteArb,2016,316,107,3,52,451,0,187
10-33,0,55-66,SysselsatteArb,2017,327,107,5,65,457,0,184
10-33,0,55-66,SysselsatteArb,2018,355,106,8,84,463,0,186
10-33,0,55-66,SysselsatteArb,2019,387,103,11,87,486,0,191
10-33,0,55-66,SysselsatteArb,2020,409,107,14,105,482,0,189
10-33,0,67-74,SysselsatteArb,2008,22,3,0,5,34,0,7
10-33,0,67-74,SysselsatteArb,2009,19,0,0,4,34,0,11
10-33,0,67-74,SysselsatteArb,2010,18,0,0,6,37,0,12
10-33,0,67-74,SysselsatteArb,2011,24,0,0,8,35,0,9
10-33,0,67-74,SysselsatteArb,2012,20,0,0,11,35,0,6
10-33,0,67-74,SysselsatteArb,2013,16,0,0,9,36,0,11
10-33,0,67-74,SysselsatteArb,2014,21,3,0,9,32,0,12
10-33,0,67-74,SysselsatteArb,2015,18,3,0,7,30,0,18
10-33,0,67-74,SysselsatteArb,2016,12,0,0,3,29,0,17
10-33,0,67-74,SysselsatteArb,2017,18,0,0,8,26,0,14
10-33,0,67-74,SysselsatteArb,2018,13,5,0,4,27,0,11
10-33,0,67-74,SysselsatteArb,2019,8,3,3,6,35,0,19
10-33,0,67-74,SysselsatteArb,2020,17,3,3,8,28,0,17
35-39,0,15-74,SysselsatteArb,2008,267,113,0,51,120,0,94
35-39,0,15-74,SysselsatteArb,2009,286,121,0,54,101,0,88
35-39,0,15-74,SysselsatteArb,2010,313,120,0,60,102,0,80
35-39,0,15-74,SysselsatteArb,2011,325,124,0,67,105,0,76
35-39,0,15-74,SysselsatteArb,2012,335,138,0,61,107,0,74
35-39,0,15-74,SysselsatteArb,2013,343,125,0,60,128,0,129
35-39,0,15-74,SysselsatteArb,2014,348,127,0,61,112,0,86
35-39,0,15-74,SysselsatteArb,2015,347,123,0,31,105,0,43
35-39,0,15-74,SysselsatteArb,2016,375,131,0,31,110,0,65
35-39,0,15-74,SysselsatteArb,2017,379,127,0,28,109,0,92
35-39,0,15-74,SysselsatteArb,2018,372,129,0,25,114,0,76
35-39,0,15-74,SysselsatteArb,2019,416,126,0,23,123,0,101
35-39,0,15-74,SysselsatteArb,2020,425,140,0,NA,133,0,101
35-39,0,55-66,SysselsatteArb,2008,69,27,0,6,20,0,14
35-39,0,55-66,SysselsatteArb,2009,71,31,0,9,21,0,14
35-39,0,55-66,SysselsatteArb,2010,71,32,0,9,17,0,17
35-39,0,55-66,SysselsatteArb,2011,71,35,0,10,19,0,16
35-39,0,55-66,SysselsatteArb,2012,71,37,0,9,23,0,15
35-39,0,55-66,SysselsatteArb,2013,65,39,0,9,23,0,18
35-39,0,55-66,SysselsatteArb,2014,61,42,0,12,24,0,15
35-39,0,55-66,SysselsatteArb,2015,76,37,0,7,20,0,8
35-39,0,55-66,SysselsatteArb,2016,86,38,0,12,21,0,13
35-39,0,55-66,SysselsatteArb,2017,91,37,0,13,22,0,18
35-39,0,55-66,SysselsatteArb,2018,92,37,0,7,22,0,15
35-39,0,55-66,SysselsatteArb,2019,100,42,0,6,24,0,21
35-39,0,55-66,SysselsatteArb,2020,96,51,0,NA,24,0,22
35-39,0,67-74,SysselsatteArb,2008,0,0,0,0,0,0,3
35-39,0,67-74,SysselsatteArb,2009,3,0,0,0,0,0,3
35-39,0,67-74,SysselsatteArb,2010,5,0,0,0,0,0,3
35-39,0,67-74,SysselsatteArb,2011,6,3,0,0,0,0,0
35-39,0,67-74,SysselsatteArb,2012,6,0,0,0,0,0,0
35-39,0,67-74,SysselsatteArb,2013,5,3,0,0,3,0,3
35-39,0,67-74,SysselsatteArb,2014,3,0,0,0,0,0,0
35-39,0,67-74,SysselsatteArb,2015,3,0,0,0,3,0,0
35-39,0,67-74,SysselsatteArb,2016,3,0,0,0,0,0,0
35-39,0,67-74,SysselsatteArb,2017,4,0,0,0,0,0,3
35-39,0,67-74,SysselsatteArb,2018,6,0,0,0,3,0,3
35-39,0,67-74,SysselsatteArb,2019,6,3,0,0,0,0,0
35-39,0,67-74,SysselsatteArb,2020,7,3,0,NA,0,0,0
41-43,0,15-74,SysselsatteArb,2008,1263,176,11,346,1472,9,444
41-43,0,15-74,SysselsatteArb,2009,1296,180,8,385,1442,11,473
41-43,0,15-74,SysselsatteArb,2010,1226,177,7,394,1532,10,482
41-43,0,15-74,SysselsatteArb,2011,1273,179,8,663,1682,9,484
41-43,0,15-74,SysselsatteArb,2012,1211,190,8,480,1775,7,448
41-43,0,15-74,SysselsatteArb,2013,1340,195,11,466,1876,13,465
41-43,0,15-74,SysselsatteArb,2014,1294,195,11,450,1907,10,501
41-43,0,15-74,SysselsatteArb,2015,1240,197,16,469,1811,12,511
41-43,0,15-74,SysselsatteArb,2016,1179,207,13,467,1808,9,504
41-43,0,15-74,SysselsatteArb,2017,1197,219,13,485,1907,6,544
41-43,0,15-74,SysselsatteArb,2018,1252,210,12,500,1807,9,569
41-43,0,15-74,SysselsatteArb,2019,1081,198,9,549,1891,3,555
41-43,0,15-74,SysselsatteArb,2020,1002,206,9,510,1920,6,638
41-43,0,55-66,SysselsatteArb,2008,162,25,3,24,172,3,70
41-43,0,55-66,SysselsatteArb,2009,166,25,3,33,187,4,75
41-43,0,55-66,SysselsatteArb,2010,168,23,3,39,192,3,80
41-43,0,55-66,SysselsatteArb,2011,161,23,3,46,207,3,79
41-43,0,55-66,SysselsatteArb,2012,172,22,3,45,216,3,84
41-43,0,55-66,SysselsatteArb,2013,183,23,3,47,236,3,88
41-43,0,55-66,SysselsatteArb,2014,196,27,0,40,243,4,92
41-43,0,55-66,SysselsatteArb,2015,199,31,3,55,245,3,91
41-43,0,55-66,SysselsatteArb,2016,204,31,4,51,250,3,94
41-43,0,55-66,SysselsatteArb,2017,207,36,4,58,246,0,99
41-43,0,55-66,SysselsatteArb,2018,200,37,3,55,255,3,93
41-43,0,55-66,SysselsatteArb,2019,185,39,3,65,273,0,87
41-43,0,55-66,SysselsatteArb,2020,174,45,3,68,304,3,91
41-43,0,67-74,SysselsatteArb,2008,22,3,0,7,18,0,10
41-43,0,67-74,SysselsatteArb,2009,19,3,0,6,18,0,11
41-43,0,67-74,SysselsatteArb,2010,21,0,0,3,15,0,8
41-43,0,67-74,SysselsatteArb,2011,23,3,0,5,22,0,13
41-43,0,67-74,SysselsatteArb,2012,24,4,0,9,20,0,15
41-43,0,67-74,SysselsatteArb,2013,27,9,3,8,25,3,10
41-43,0,67-74,SysselsatteArb,2014,26,4,4,10,29,0,9
41-43,0,67-74,SysselsatteArb,2015,23,4,3,12,21,3,10
41-43,0,67-74,SysselsatteArb,2016,24,4,3,10,23,0,14
41-43,0,67-74,SysselsatteArb,2017,22,6,3,13,31,0,21
41-43,0,67-74,SysselsatteArb,2018,20,6,3,18,24,0,18
41-43,0,67-74,SysselsatteArb,2019,25,4,0,17,28,0,25
41-43,0,67-74,SysselsatteArb,2020,20,3,3,13,28,0,33
45-47,0,15-74,SysselsatteArb,2008,3945,183,12,362,2026,3,494
45-47,0,15-74,SysselsatteArb,2009,3810,189,13,363,1968,3,447
45-47,0,15-74,SysselsatteArb,2010,3793,205,13,390,2080,6,437
45-47,0,15-74,SysselsatteArb,2011,3814,189,15,390,2149,6,467
45-47,0,15-74,SysselsatteArb,2012,3712,202,19,434,2144,6,510
45-47,0,15-74,SysselsatteArb,2013,3670,182,13,415,2030,3,506
45-47,0,15-74,SysselsatteArb,2014,3642,173,16,443,2005,3,497
45-47,0,15-74,SysselsatteArb,2015,3295,170,15,438,1983,3,462
45-47,0,15-74,SysselsatteArb,2016,3233,168,15,445,2001,6,450
45-47,0,15-74,SysselsatteArb,2017,3235,164,12,454,1991,6,483
45-47,0,15-74,SysselsatteArb,2018,3176,171,9,451,1951,3,515
45-47,0,15-74,SysselsatteArb,2019,3006,158,10,445,1939,9,490
45-47,0,15-74,SysselsatteArb,2020,2879,158,12,431,2020,NA,475
45-47,0,55-66,SysselsatteArb,2008,492,23,3,52,266,0,65
45-47,0,55-66,SysselsatteArb,2009,487,24,7,58,264,0,59
45-47,0,55-66,SysselsatteArb,2010,487,29,7,54,267,0,61
45-47,0,55-66,SysselsatteArb,2011,490,28,6,57,261,0,67
45-47,0,55-66,SysselsatteArb,2012,500,31,4,59,269,3,74
45-47,0,55-66,SysselsatteArb,2013,502,33,4,66,283,3,73
45-47,0,55-66,SysselsatteArb,2014,506,28,7,80,289,0,71
45-47,0,55-66,SysselsatteArb,2015,449,33,6,79,290,0,76
45-47,0,55-66,SysselsatteArb,2016,459,27,3,81,285,0,78
45-47,0,55-66,SysselsatteArb,2017,464,28,3,79,281,3,85
45-47,0,55-66,SysselsatteArb,2018,475,26,0,85,279,0,94
45-47,0,55-66,SysselsatteArb,2019,445,29,3,86,311,0,93
45-47,0,55-66,SysselsatteArb,2020,426,26,6,83,340,NA,96
45-47,0,67-74,SysselsatteArb,2008,36,3,0,7,31,0,6
45-47,0,67-74,SysselsatteArb,2009,51,0,0,9,38,0,10
45-47,0,67-74,SysselsatteArb,2010,57,3,0,8,39,0,6
45-47,0,67-74,SysselsatteArb,2011,58,0,0,8,40,0,10
45-47,0,67-74,SysselsatteArb,2012,67,3,3,11,40,0,11
45-47,0,67-74,SysselsatteArb,2013,67,0,0,7,35,0,12
45-47,0,67-74,SysselsatteArb,2014,73,0,0,10,37,0,9
45-47,0,67-74,SysselsatteArb,2015,52,0,0,7,38,0,8
45-47,0,67-74,SysselsatteArb,2016,57,3,3,7,32,0,5
45-47,0,67-74,SysselsatteArb,2017,63,0,0,7,36,0,11
45-47,0,67-74,SysselsatteArb,2018,56,3,0,7,34,0,9
45-47,0,67-74,SysselsatteArb,2019,50,3,0,4,28,0,16
45-47,0,67-74,SysselsatteArb,2020,42,3,0,4,34,NA,13
49-53,0,15-74,SysselsatteArb,2008,1261,82,35,191,1402,26,213
49-53,0,15-74,SysselsatteArb,2009,1249,82,27,181,1388,22,194
49-53,0,15-74,SysselsatteArb,2010,1141,85,28,135,1424,22,207
49-53,0,15-74,SysselsatteArb,2011,1174,93,21,137,1346,24,201
49-53,0,15-74,SysselsatteArb,2012,1211,90,20,127,1365,20,195
49-53,0,15-74,SysselsatteArb,2013,1046,70,24,130,1470,19,225
49-53,0,15-74,SysselsatteArb,2014,1069,66,27,137,1495,21,231
49-53,0,15-74,SysselsatteArb,2015,1067,64,26,135,1441,18,315
49-53,0,15-74,SysselsatteArb,2016,1001,67,30,109,1362,19,309
49-53,0,15-74,SysselsatteArb,2017,996,77,32,216,1407,20,304
49-53,0,15-74,SysselsatteArb,2018,999,69,27,105,1431,17,288
49-53,0,15-74,SysselsatteArb,2019,993,70,33,92,1430,20,269
49-53,0,15-74,SysselsatteArb,2020,820,75,31,178,1443,25,259
49-53,0,55-66,SysselsatteArb,2008,281,22,6,38,247,4,53
49-53,0,55-66,SysselsatteArb,2009,277,22,3,31,257,0,53
49-53,0,55-66,SysselsatteArb,2010,280,19,3,17,281,0,56
49-53,0,55-66,SysselsatteArb,2011,299,26,3,19,258,3,55
49-53,0,55-66,SysselsatteArb,2012,304,26,3,17,264,3,54
49-53,0,55-66,SysselsatteArb,2013,249,17,6,25,325,4,60
49-53,0,55-66,SysselsatteArb,2014,244,18,3,28,318,3,66
49-53,0,55-66,SysselsatteArb,2015,251,16,9,27,324,3,64
49-53,0,55-66,SysselsatteArb,2016,229,16,9,26,307,3,55
49-53,0,55-66,SysselsatteArb,2017,228,17,13,38,312,3,57
49-53,0,55-66,SysselsatteArb,2018,215,19,12,21,304,3,47
49-53,0,55-66,SysselsatteArb,2019,216,17,12,19,320,6,51
49-53,0,55-66,SysselsatteArb,2020,163,20,9,40,357,3,46
49-53,0,67-74,SysselsatteArb,2008,32,4,0,3,32,0,8
49-53,0,67-74,SysselsatteArb,2009,31,3,0,6,26,0,8
49-53,0,67-74,SysselsatteArb,2010,36,3,0,5,27,0,10
49-53,0,67-74,SysselsatteArb,2011,49,3,0,4,29,0,12
49-53,0,67-74,SysselsatteArb,2012,52,3,0,6,35,0,10
49-53,0,67-74,SysselsatteArb,2013,63,3,0,0,39,0,17
49-53,0,67-74,SysselsatteArb,2014,64,0,3,0,45,0,21
49-53,0,67-74,SysselsatteArb,2015,56,3,0,4,18,0,17
49-53,0,67-74,SysselsatteArb,2016,48,3,0,3,22,0,18
49-53,0,67-74,SysselsatteArb,2017,53,3,0,3,27,0,22
49-53,0,67-74,SysselsatteArb,2018,52,3,0,3,37,0,23
49-53,0,67-74,SysselsatteArb,2019,48,3,0,3,41,0,19
49-53,0,67-74,SysselsatteArb,2020,21,3,0,6,52,0,21
55-56,0,15-74,SysselsatteArb,2008,863,50,9,156,267,9,84
55-56,0,15-74,SysselsatteArb,2009,774,52,6,163,255,3,120
55-56,0,15-74,SysselsatteArb,2010,838,59,0,181,257,6,115
55-56,0,15-74,SysselsatteArb,2011,833,56,0,124,281,3,141
55-56,0,15-74,SysselsatteArb,2012,871,41,3,136,285,3,106
55-56,0,15-74,SysselsatteArb,2013,939,46,3,126,336,7,71
55-56,0,15-74,SysselsatteArb,2014,965,42,0,134,343,6,69
55-56,0,15-74,SysselsatteArb,2015,827,48,3,89,259,3,19
55-56,0,15-74,SysselsatteArb,2016,908,44,3,92,265,0,23
55-56,0,15-74,SysselsatteArb,2017,924,55,3,92,265,3,21
55-56,0,15-74,SysselsatteArb,2018,880,57,3,81,315,3,19
55-56,0,15-74,SysselsatteArb,2019,898,59,0,88,280,0,23
55-56,0,15-74,SysselsatteArb,2020,751,33,0,80,269,0,41
55-56,0,55-66,SysselsatteArb,2008,61,3,3,14,12,3,8
55-56,0,55-66,SysselsatteArb,2009,63,3,0,19,14,0,10
55-56,0,55-66,SysselsatteArb,2010,64,4,0,21,21,3,13
55-56,0,55-66,SysselsatteArb,2011,62,7,0,18,18,0,9
55-56,0,55-66,SysselsatteArb,2012,68,6,0,16,19,0,11
55-56,0,55-66,SysselsatteArb,2013,69,3,0,11,21,0,9
55-56,0,55-66,SysselsatteArb,2014,69,0,0,12,28,3,9
55-56,0,55-66,SysselsatteArb,2015,63,3,0,9,22,0,3
55-56,0,55-66,SysselsatteArb,2016,64,3,0,10,21,0,3
55-56,0,55-66,SysselsatteArb,2017,73,3,0,10,21,0,3
55-56,0,55-66,SysselsatteArb,2018,68,7,0,10,25,0,3
55-56,0,55-66,SysselsatteArb,2019,69,6,0,10,22,0,3
55-56,0,55-66,SysselsatteArb,2020,58,3,0,7,25,0,7
55-56,0,67-74,SysselsatteArb,2008,3,0,0,0,3,0,0
55-56,0,67-74,SysselsatteArb,2009,6,0,0,3,3,0,0
55-56,0,67-74,SysselsatteArb,2010,9,0,0,3,3,0,3
55-56,0,67-74,SysselsatteArb,2011,9,0,0,3,7,3,3
55-56,0,67-74,SysselsatteArb,2012,11,0,0,3,5,0,0
55-56,0,67-74,SysselsatteArb,2013,10,0,0,3,8,0,0
55-56,0,67-74,SysselsatteArb,2014,6,0,0,3,7,0,0
55-56,0,67-74,SysselsatteArb,2015,9,0,0,3,6,3,0
55-56,0,67-74,SysselsatteArb,2016,8,0,0,3,3,0,0
55-56,0,67-74,SysselsatteArb,2017,8,0,0,0,6,0,0
55-56,0,67-74,SysselsatteArb,2018,7,0,0,0,3,3,0
55-56,0,67-74,SysselsatteArb,2019,9,0,0,0,3,0,0
55-56,0,67-74,SysselsatteArb,2020,6,0,0,3,4,0,0
58-63,0,15-74,SysselsatteArb,2008,405,18,0,11,136,0,168
58-63,0,15-74,SysselsatteArb,2009,400,18,0,12,146,0,161
58-63,0,15-74,SysselsatteArb,2010,429,14,0,104,157,0,171
58-63,0,15-74,SysselsatteArb,2011,439,14,0,105,133,0,209
58-63,0,15-74,SysselsatteArb,2012,450,14,0,117,160,0,199
58-63,0,15-74,SysselsatteArb,2013,458,18,0,100,158,0,191
58-63,0,15-74,SysselsatteArb,2014,477,21,3,88,135,0,144
58-63,0,15-74,SysselsatteArb,2015,463,24,3,50,141,0,182
58-63,0,15-74,SysselsatteArb,2016,474,11,0,40,155,0,208
58-63,0,15-74,SysselsatteArb,2017,483,12,0,62,163,0,127
58-63,0,15-74,SysselsatteArb,2018,530,12,3,60,180,0,135
58-63,0,15-74,SysselsatteArb,2019,577,15,3,101,186,0,145
58-63,0,15-74,SysselsatteArb,2020,604,13,NA,115,194,0,149
58-63,0,55-66,SysselsatteArb,2008,69,3,0,0,15,0,3
58-63,0,55-66,SysselsatteArb,2009,69,3,0,3,11,0,9
58-63,0,55-66,SysselsatteArb,2010,75,0,0,20,12,0,20
58-63,0,55-66,SysselsatteArb,2011,69,0,0,18,13,0,30
58-63,0,55-66,SysselsatteArb,2012,63,0,0,23,12,0,18
58-63,0,55-66,SysselsatteArb,2013,66,0,0,21,15,0,20
58-63,0,55-66,SysselsatteArb,2014,69,3,0,21,12,0,17
58-63,0,55-66,SysselsatteArb,2015,65,3,0,6,12,0,30
58-63,0,55-66,SysselsatteArb,2016,66,0,0,6,12,0,28
58-63,0,55-66,SysselsatteArb,2017,78,3,0,16,17,0,21
58-63,0,55-66,SysselsatteArb,2018,72,3,0,17,17,0,24
58-63,0,55-66,SysselsatteArb,2019,84,3,0,26,15,0,18
58-63,0,55-66,SysselsatteArb,2020,83,0,NA,28,13,0,18
